What is the electronvolt? | The energy gained by an electron travelling through a potential difference of one volt
The energy gained by an electron travelling through a potential difference of one volt — what unit is this? | The electronvolt (eV)
Why is the electronvolt commonly used in quantum physics? | Quantum energies are much smaller than 1 joule, so the electronvolt provides a more convenient unit of measurement
What is the value of 1 eV in joules? | 1 eV = 1.60 × 10⁻¹⁹ J
The electronvolt is derived from the definition of which quantity? | Potential difference (V = E/Q)
How do you convert eV to joules? | Multiply by 1.6 × 10⁻¹⁹
How do you convert joules to eV? | Divide by 1.6 × 10⁻¹⁹
What is the equation relating potential difference, energy, and charge? | V = E/Q, where V = potential difference (V), E = energy (J), Q = charge (C)
When an electron accelerates from rest through a potential difference V, what equation relates the electronvolt to kinetic energy? | eV = ½mv²
In the equation eV = ½mv², what does each symbol represent? | e = charge of an electron (1.60 × 10⁻¹⁹ C), V = potential difference (V), m = mass of the particle (kg), v = velocity of the particle (m s⁻¹)
What is the rearranged equation for the speed of an electron accelerated from rest through a potential difference V? | v = √(2eV/m)
What is the photoelectric effect? | The phenomenon in which electrons are emitted from the surface of a metal upon the absorption of electromagnetic radiation
Electrons emitted from a metal surface by the photoelectric effect are called what? | Photoelectrons
What important evidence does the photoelectric effect provide about the nature of light? | It provides evidence that light behaves as a particle — light is quantised or carried in discrete packets
Explain why only frequencies above a certain value cause photoelectron emission | Each electron can absorb only a single photon. If the photon energy (which depends on frequency) is below the minimum energy needed to remove an electron, no emission occurs regardless of intensity
What is the threshold frequency? | The minimum frequency of incident electromagnetic radiation required to remove a photoelectron from the surface of a metal
The minimum frequency of incident electromagnetic radiation required to remove a photoelectron from a metal surface — what is this called? | Threshold frequency (f₀)
What is the threshold wavelength? | The longest wavelength of incident electromagnetic radiation that would remove a photoelectron from the surface of a metal
The longest wavelength of incident electromagnetic radiation that would remove a photoelectron from a metal surface — what is this called? | Threshold wavelength (λ₀)
Why is the threshold wavelength described as the longest (not shortest) wavelength? | Longer wavelengths correspond to lower frequencies. The threshold wavelength is the maximum wavelength (minimum frequency) that still provides enough energy to release an electron
What equation relates the wave speed, frequency, and wavelength of a photon? | v = fλ, where v = c (speed of light) for photons
Are threshold frequency and wavelength the same for all metals? | No, they are properties of a material and vary from metal to metal
In which region of the electromagnetic spectrum do alkali metals (e.g. sodium, potassium) have their threshold frequencies? | The visible light region
In which region of the electromagnetic spectrum do transition metals (e.g. zinc, iron) have their threshold frequencies? | The ultraviolet region
Explain why alkali metals have lower threshold frequencies than transition metals | In alkali metals, the attractive forces between surface electrons and positive metal ions are relatively weak, so less photon energy (lower frequency) is needed to remove electrons
What is the work function (Φ)? | The minimum energy required to release a photoelectron from the surface of a metal
The minimum energy required to release a photoelectron from the surface of a metal — what is this called? | The work function (Φ)
How many photons can a single electron absorb in the photoelectric effect? | Exactly one photon
What condition must a photon's energy meet for an electron to escape from a metal surface? | The photon energy must be equal to or greater than the work function (Φ) of the metal
Using the energy well analogy, what determines whether an electron escapes the metal? | The photon must provide enough energy to lift the electron out of the energy well. If the photon energy is less than the well depth (work function), the electron falls back
Why do different metals have different work functions? | Because the strength of the attractive forces between surface electrons and positive metal ions varies between metals
What is the stopping potential (Vₛ)? | The potential difference required to stop photoelectron emission from occurring
The potential difference required to stop photoelectron emission — what is this called? | Stopping potential (Vₛ)
In the photoelectric experiment, what is the role of the emitter plate? | It is the metal plate where photons arrive and cause photoelectrons to be emitted
In the photoelectric experiment, what is the role of the collector plate? | It collects the electrons that cross the gap from the emitter plate
How does the stopping potential experiment determine the maximum kinetic energy of photoelectrons? | The supply p.d. is increased until no electrons can cross the gap. At this stopping potential, Ek(max) = eVₛ
What is the equation for maximum kinetic energy of photoelectrons in terms of stopping potential? | Ek(max) = eVₛ
In the equation Ek(max) = eVₛ, what does each symbol represent? | Ek(max) = maximum kinetic energy of photoelectrons (J), e = charge on an electron (C), Vₛ = stopping potential (V)
What happens to the stopping potential when the intensity of incident radiation is increased? | The stopping potential remains the same
Explain why increasing intensity does not change the stopping potential | Intensity affects the number of photons, not the energy of each photon. Since each electron absorbs only one photon, the maximum kinetic energy (and hence stopping potential) depends only on photon frequency, not intensity
