What is an array? | An ordered, static set of elements that can only store one data type
An ordered, static set of elements of a single data type — what data structure is this? | An array
How are elements in a 1D array accessed? | By using the array name followed by the index in square brackets, e.g. array[index]
What does it mean that arrays are zero-indexed? | The first element is at position 0, not position 1
A 1D array is also called a [...] array | linear
How is a 2D array best visualised? | As a table (rows and columns)
When navigating a 2D array, which dimension do you traverse first? | Down the rows first, then across the columns
What syntax is used to access an element in a 2D array? | arrayName[row][column]
How can a 3D array be visualised? | As a multi-page spreadsheet, or multiple 2D arrays
What syntax is used to select an element in a 3D array? | arrayName[z][y][x], where z is the array index, y is the row, and x is the column
How does a list differ from an array in terms of memory storage? | List values are stored non-contiguously (not next to each other in memory), while array elements are stored contiguously
How does a list differ from an array in terms of data types? | Lists can contain elements of more than one data type, while arrays can only store one data type
A data structure where items are ordered, can occur more than once, and are stored non-contiguously — what is this? | A list
What does the list operation isEmpty() do? | Checks if the list is empty and returns a Boolean value
What does the list operation append(value) do? | Adds a new value to the end of the list
What does the list operation remove(value) do? | Removes the first occurrence of the specified value from the list
What does the list operation length() do? | Returns the number of items in the list
What does the list operation index(value) do? | Returns the position (index) of the specified item in the list
What does the list operation insert(position, value) do? | Inserts a value at the given position in the list
What does the list operation pop() do? | Returns and removes the last value in the list
What is a record? | A row in a file, made up of fields, commonly used in databases
A row in a file made up of fields — what data structure is this? | A record
How are individual fields in a record accessed? | Using dot notation: recordName.fieldName
What is a tuple? | An ordered set of values of any type that is immutable (cannot be changed after creation)
An ordered, immutable set of values of any type — what data structure is this? | A tuple
How do tuples differ from lists? | Tuples are immutable (elements cannot be added, removed, or changed), while lists are mutable
What brackets are used to initialise a tuple? | Regular (round) brackets, e.g. (1, 2, 3)
What brackets are used to initialise a list? | Square brackets, e.g. [1, 2, 3]
How does a static data structure differ from a dynamic data structure? | A static data structure has a fixed size set at creation and cannot change at runtime, while a dynamic data structure can grow or shrink as needed
What is a linked list? | A dynamic data structure used to hold an ordered sequence, where each item (node) contains a data field and a pointer to the next node
A dynamic data structure where each node contains data and a pointer to the next node — what is this? | A linked list
What two fields does each node in a linked list contain? | A data field (holding the value) and a pointer field (holding the address of the next node)
What two pointers does a linked list maintain outside of its nodes? | A Start pointer (index of the first item) and a NextFree pointer (index of the next available space)
How is the end of a linked list identified during traversal? | When a node's pointer field is empty or null
Explain how a new node is added to a linked list | Place the new data in the next free position, update the NextFree pointer, update the preceding node's pointer to point to the new node, and set the new node's pointer to the next item in the sequence
Explain how a node is removed from a linked list | Update the pointer of the preceding node to skip the removed node and point to the node after it; the removed node is not truly deleted, just bypassed
Why does removing a node from a linked list waste memory? | The bypassed node still occupies memory even though it is no longer part of the logical sequence
Why does a linked list require more memory than an array for the same data? | Because each node must store both the data and a pointer, whereas array elements store only data
How does a linked list compare to an array for direct access? | Arrays support direct access by index, while linked lists must be traversed sequentially from the start to reach a specific item
What is a stack? | A last in first out (LIFO) data structure where items can only be added to or removed from the top
A LIFO data structure where items are added and removed from the top — what is this? | A stack
Give two real-world uses of stacks in computing | Undo functionality in applications and the back button in web browsers (reversing actions)
What does the stack operation push(value) do? | Adds a new value to the top of the stack (after checking the stack is not full)
What does the stack operation pop() do? | Removes and returns the value at the top of the stack (after checking the stack is not empty)
What does the stack operation peek() do? | Returns the top value of the stack without removing it
What does the stack operation isEmpty() do? | Checks if the stack is empty by examining the top pointer
What does the stack operation isFull() do? | Checks if the stack is full by comparing the stack size to the top pointer
What happens to the top pointer when data is pushed onto a stack? | The top pointer increments by 1
What happens to the top pointer when data is popped from a stack? | The top pointer decrements by 1
What is a stack overflow? | An error that occurs when attempting to push an item onto a full stack
What is a stack underflow? | An error that occurs when attempting to pop an item from an empty stack
When data is popped from a stack, is it necessarily erased? | No, the pointer moves to indicate it is no longer in the stack; the data may be overwritten later, replaced with null, or simply left in place
What is a queue? | A first in first out (FIFO) data structure where items are added to the back and removed from the front
A FIFO data structure where items are added at the back and removed from the front — what is this? | A queue
What two pointers does a queue use? | A front (head) pointer and a back (tail) pointer
What does the queue operation enQueue(value) do? | Adds an element to the back of the queue
What does the queue operation deQueue() do? | Removes and returns the element from the front of the queue
What is a queue overflow? | An error that occurs when attempting to enqueue an item onto a full queue
What is a queue underflow? | An error that occurs when attempting to dequeue an item from an empty queue
What are the three types of queue? | Linear queue, circular queue, and priority queue
What is a linear queue? | A queue implemented as an array where items are added to the next available space and removed from the front
What is the main disadvantage of a linear queue? | Once items are dequeued, the freed positions at the front of the array cannot be reused, wasting memory
What is a circular queue? | A static array-based queue with fixed capacity that reuses empty slots at the front of the array by wrapping the rear pointer back to the start when it reaches the end
How does a circular queue differ from a linear queue? | A circular queue wraps its rear pointer back to the beginning of the array when it reaches the end, reusing freed space; a linear queue cannot reuse space at the front
Explain how the rear pointer wraps around in a circular queue | When the rear pointer reaches the last position of the array and there is free space at the front, it resets to index 0 (or the first free position) to store the next item
How does a circular queue detect that it is full? | The next position the rear pointer would move to is already occupied by the item at the front of the queue
How does a stack differ from a queue? | A stack uses LIFO ordering (last item added is first removed), while a queue uses FIFO ordering (first item added is first removed)
What is a graph? | A set of vertices (nodes) connected by edges (arcs)
A set of vertices connected by edges — what data structure is this? | A graph
What is a directed graph? | A graph where each edge can only be traversed in one direction
What is an undirected graph? | A graph where edges can be traversed in both directions
What is a weighted graph? | A graph where a value (weight/cost) is attached to each edge
Name the two ways computers can represent graphs | Adjacency matrix and adjacency list
What is an adjacency matrix? | A 2D matrix (table) of rows and columns where each cell indicates whether an edge exists between two nodes (and its weight, if applicable)
What is an adjacency list? | A collection of lists where each node stores a list of its adjacent nodes (and edge weights, if applicable)
In an unweighted adjacency matrix, what do the values 1 and 0 represent? | 1 means an edge exists between the two nodes; 0 means no edge exists
In a weighted adjacency matrix, what value is used when no edge exists between two nodes? | Infinity (∞) or a very large number
Why is the adjacency matrix for an undirected, unweighted graph symmetric? | Because if node A connects to node B, then node B also connects to node A, so the matrix reads the same from both directions
Why is the adjacency matrix for a directed graph not necessarily symmetric? | Because an edge from A to B does not imply an edge from B to A, so values may differ depending on direction
What advantage does an adjacency matrix have over an adjacency list? | Faster access times for checking whether a specific edge exists, and easier to add new nodes
What advantage does an adjacency list have over an adjacency matrix? | More space-efficient for large, sparse graphs (graphs with few edges relative to nodes)
Give three real-world applications of graphs | Social networks, transport/routing networks, and operating systems
What is a tree? | A connected, undirected graph with nodes and pointers, structured with a root at the top and leaves at the bottom
What is the root node? | The single top-level node in a tree that has no incoming edges (no parent)
What is a leaf node? | A node in a tree that has no children
What is a parent node in a tree? | A node with outgoing edges connecting it to child nodes
What is a child node in a tree? | A node with an incoming edge from a parent node
What is a subtree? | A subsection of a tree consisting of a parent node and all of its descendants
What is a binary tree? | A rooted tree where every node has a maximum of two children (left child and right child)
How is a binary tree commonly represented in data? | Using a 2D array where each row stores a node's left pointer, data value, and right pointer
What is a binary search tree (BST)? | A binary tree where nodes are ordered so that all values in the left subtree are less than the parent, and all values in the right subtree are greater
A binary tree where left children are smaller and right children are larger than the parent — what is this? | A binary search tree
Why are binary search trees useful? | They optimise searching by allowing efficient traversal, similar to a binary search
Explain how to insert a value into a binary search tree | Compare the value to the current node: if smaller, go left; if larger, go right. Repeat until a vacant position is found, then insert the new node there
How do you delete a leaf node from a BST? | Simply remove it, as it has no children
How do you delete a node with one child from a BST? | Replace the deleted node with its single child
How do you delete a node with two children from a BST? | Replace it with the in-order successor (smallest value in the right subtree) or the in-order predecessor (largest value in the left subtree), then remove the replacement node from its original position
What are the two main methods for traversing a binary tree? | Depth-first traversal and breadth-first traversal
Name the three types of depth-first tree traversal | Pre-order, in-order, and post-order
What order does pre-order traversal follow? | Root node, then left subtree, then right subtree
What order does in-order traversal follow? | Left subtree, then root node, then right subtree
What order does post-order traversal follow? | Left subtree, then right subtree, then root node
In the outline method for pre-order traversal, where is the dot placed on each node? | On the left-hand side of each node
In the outline method for in-order traversal, where is the dot placed on each node? | On the bottom (underneath) of each node
In the outline method for post-order traversal, where is the dot placed on each node? | On the right-hand side of each node
What is notable about in-order traversal of a BST? | It outputs the values in ascending (sequential) order
How does breadth-first traversal of a tree work? | Start at the root, then visit each level from left to right, level by level, as though reading a book
What are the two approaches to traversing a graph? | Breadth-first search and depth-first search
What data structure does breadth-first search (BFS) of a graph use? | A queue
Explain how breadth-first search traverses a graph | Visit the start node, add it to the visited list. Enqueue all its unvisited neighbours. Dequeue the front item, mark as visited, then enqueue its unvisited neighbours. Repeat until the queue is empty
What data structure does depth-first search (DFS) of a graph use? | A stack
Explain how depth-first search traverses a graph | Visit the start node, add to visited list. Push unvisited neighbours onto the stack. Pop the top item, mark as visited, push its unvisited neighbours. Repeat until the stack is empty
How does BFS differ from DFS in terms of traversal pattern? | BFS explores all neighbours of a node before moving deeper (layer by layer), while DFS follows one path as deep as possible before backtracking
