What is the Accumulator (ACC)? | A special register that temporarily stores the results of operations performed by the ALU
A special register that temporarily stores the results of ALU operations — what is this called? | The Accumulator (ACC)
What is the Address Bus? | A bus that carries the memory location address of the register the data is being carried to or from
A bus that carries memory location addresses between components — what is this called? | The Address Bus
What is the Arithmetic and Logic Unit (ALU)? | A part of the CPU that performs arithmetic calculations and logical operations on data
The component of the CPU that performs arithmetic and logical operations — what is it called? | The Arithmetic and Logic Unit (ALU)
What are buses in a computer system? | A physical set of parallel wires connecting and carrying groups of bits between several components of a computer
A physical set of parallel wires that carry groups of bits between computer components — what term describes this? | Buses
What is cache? | A small, fast, but expensive memory in the CPU used to store frequently accessed instructions and data
A small, fast, expensive memory in the CPU that stores frequently accessed data — what is this called? | Cache
Why does cache improve CPU performance? | Cache stores frequently used instructions and data closer to the CPU, reducing the time spent fetching from slower main memory
What is clock speed? | The frequency at which the internal clock generates signals, controlling how often instructions are executed and data is fetched
The frequency at which the CPU's internal clock generates pulses to control instruction execution — what is this called? | Clock speed
What is contemporary processor architecture? | A modern computer architecture that combines elements of both Von Neumann and Harvard architectures
A processor design combining elements of both Von Neumann and Harvard architectures — what is this called? | Contemporary processor architecture
What is the Control Bus? | A bi-directional bus carrying control signals from the CU to synchronise access and use of data
A bi-directional bus that carries control signals from the CU to synchronise component operations — what is this called? | The Control Bus
What is the Control Unit (CU)? | A part of the CPU that controls and manages the execution of instructions by sending control signals, coordinating fetch-decode-execute cycles and buses
The CPU component that manages instruction execution by sending control signals and coordinating the FDE cycle — what is it called? | The Control Unit (CU)
What is the Current Instruction Register (CIR)? | A special register that stores the current instruction being executed and decoded, divided into operand and opcode
A register that holds the instruction currently being decoded and executed — what is it called? | The Current Instruction Register (CIR)
The instruction in the CIR is divided into which two parts? | The operand (data or address) and the opcode (the operation to perform)
What is the Data Bus? | A bi-directional bus for carrying data and instructions between the processor and memory
A bi-directional bus that carries data and instructions between the CPU and memory — what is this called? | The Data Bus
How does the Address Bus differ from the Data Bus? | The Address Bus is unidirectional and carries memory addresses only. The Data Bus is bi-directional and carries actual data and instructions.
What are the three stages of the Fetch-Decode-Execute cycle? | Fetch (retrieve the instruction from memory using its address), Decode (interpret the instruction and retrieve required data), Execute (CPU carries out the required actions)
What happens during the fetch stage of the FDE cycle? | The address of the next instruction is sent to memory via the address bus, and the instruction is retrieved from memory
What happens during the decode stage of the FDE cycle? | The instruction in the CIR is interpreted, and any required data is read from the relevant addresses
What happens during the execute stage of the FDE cycle? | The CPU carries out the actions specified by the decoded instruction
What is Harvard Architecture? | A computer architecture that stores data and instructions in separate memories, allowing the next instruction to be read while data is currently being read or written
A computer architecture using separate memories for data and instructions to allow simultaneous access — what is this called? | Harvard Architecture
What advantage does Harvard Architecture have over Von Neumann? | It can read the next instruction while data is still being read or written, because data and instructions are in separate memories
What is the Memory Address Register (MAR)? | A special register that stores the memory address of the next instruction to load or data to use
A register that holds the memory address of the next instruction or data to be accessed — what is it called? | The Memory Address Register (MAR)
What is the Memory Data Register (MDR)? | A special register that temporarily stores data to be read from or written to memory
A register that temporarily holds data being transferred to or from memory — what is it called? | The Memory Data Register (MDR)
How does the MAR differ from the MDR? | The MAR holds the memory address being accessed. The MDR holds the actual data being read from or written to that address.
What is a core in a processor? | A processing unit that handles instructions with its own fetch-decode-execute cycle
What are multi-core processors? | Processors with multiple cores that can run fetch-decode-execute cycles simultaneously
What is pipelining? | The simultaneous processing of several instructions by fetching the next instruction while the current one is being decoded, and decoding another while one is being executed
The technique of overlapping fetch, decode, and execute stages of different instructions — what is this called? | Pipelining
What is the Program Counter (PC)? | A special purpose register that stores the address of the next instruction to execute
A register that holds the address of the next instruction to be fetched — what is it called? | The Program Counter (PC)
What are registers? | Special memory cells that can be accessed very quickly, used to temporarily store data and control information
Fast-access memory cells inside the CPU that temporarily hold data and control information — what are these called? | Registers
What is Von Neumann Architecture? | A computer architecture where a single control unit manages program control via a linear sequence of fetch-decode-execute cycles
A computer architecture using a single control unit and a linear sequence of FDE cycles with shared memory for data and instructions — what is this called? | Von Neumann Architecture
How does Von Neumann Architecture differ from Harvard Architecture? | Von Neumann uses a single shared memory for both data and instructions, processed sequentially. Harvard uses separate memories for data and instructions, allowing simultaneous access.
What is a Complex Instruction Set Computer (CISC)? | A processor design that can execute a series of tasks in a single complex instruction built into the hardware, using less RAM but preventing pipelining
A processor design using complex multi-task instructions built into hardware, reducing RAM usage but preventing pipelining — what is this called? | CISC (Complex Instruction Set Computer)
What is a Reduced Instruction Set Computer (RISC)? | A simpler processor design that executes a single simple instruction each clock cycle, using more RAM but allowing pipelining
