What is a network? | Two or more computers connected together with the ability to transmit data between each other
Two or more computers connected together with the ability to transmit data between each other — what term is this? | Network
What is a LAN? | A network spread over a small geographical area or a single site (e.g. a school)
A network spread over a small geographical area or a single site — what term is this? | Local Area Network (LAN)
What is a WAN? | A network spread over a large geographical area, connecting multiple sites
A network spread over a large geographical area, connecting multiple sites — what term is this? | Wide Area Network (WAN)
What is the largest WAN? | The Internet
Who typically owns the infrastructure used in a WAN? | Third-party companies such as ISPs or telecommunications providers
Who typically owns the hardware used to create a LAN? | A single organisation or entity
Why is a LAN generally considered more secure than a WAN? | All the hardware and connections in a LAN are owned by the organisation, whereas a WAN relies on third-party infrastructure
What is the Internet? | A network of networks that allows computers across the globe to communicate, connected by large international backbone cables (many running underwater between continents)
What is a protocol in networking? | A set of rules defining how two computers communicate with each other
A set of rules defining how two computers communicate with each other — what term is this? | Protocol
Why are networking protocols standardised? | So that all devices have a designated method of communicating regardless of manufacturer
What is a standard in networking? | A set of guidelines or frameworks governing how a task should be performed, ensuring compatibility, interoperability, and consistency across different devices and software
Why are standards needed in a network? | They enable devices from different manufacturers to work together seamlessly and support network expansion without disrupting existing operations
What does HTTP stand for and what is it used for? | HyperText Transfer Protocol, used for transferring web content (text, images, video)
What does HTTPS provide over HTTP? | Encryption for security during data transfer (e.g. online banking and shopping)
What does FTP stand for and what is it used for? | File Transfer Protocol, used for transferring files between hosts over a network
What are POP3 and IMAP used for? | Email access (mailing protocols for retrieving email from a server)
What does SMTP stand for and what is it used for? | Simple Mail Transfer Protocol, used for sending email messages between servers
What does TCP provide? | Reliable, ordered, and error-checked delivery of a stream of packets
How does UDP differ from TCP? | UDP is connectionless, does not guarantee delivery or ordering, and skips error-checking, making it faster than TCP
What does ARP do? | Translates IP addresses into MAC addresses so data packets reach the correct device on a local network
What does IP do? | Addresses and routes packets of data from the source to the destination device
What does TCP/IP stand for? | Transmission Control Protocol / Internet Protocol
What is protocol layering? | Dividing network protocols into layers, each performing specific functions, allowing modular design, simpler troubleshooting, and interoperability
Dividing network protocols into layers, each performing specific functions — what concept is this? | Protocol layering
Name the four layers of the TCP/IP stack from top to bottom | Application, Transport, Internet (Network), Link
What is the role of the Application layer in the TCP/IP stack? | Selects the appropriate protocol based on the application being used (e.g. HTTP for a browser, SMTP for email)
What is the role of the Transport layer in the TCP/IP stack? | Establishes an end-to-end connection, splits data into packets, labels each with a packet number and port number, and requests retransmission of lost packets
What is the role of the Internet (Network) layer in the TCP/IP stack? | Adds source and destination IP addresses to packets and routes them across the network
What is the role of the Link layer in the TCP/IP stack? | Adds MAC addresses of source and destination NICs and handles the physical connection between network devices
What is encapsulation in the context of the TCP/IP stack? | The process where each layer adds its own header (and sometimes trailer) to data before passing it to the layer below
In what order are the TCP/IP layers processed at the receiving end? | Bottom to top: Link layer removes MAC address, Internet layer removes IP addresses, Transport layer removes port number and reassembles packets, Application layer presents the data
In the TCP/IP stack, which layer adds the MAC address? | Link layer
In the TCP/IP stack, which layer adds the IP addresses? | Internet (Network) layer
In the TCP/IP stack, which layer splits data into packets? | Transport layer
How does layering help with software updates in a network? | Changes can be made to one layer without affecting others, making updates easier to implement
How does layering support interoperability? | Different technologies can work together because each layer operates independently of the others
What is a socket address? | The combination of an IP address and a port number
The combination of an IP address and a port number — what term is this? | Socket address
What is the purpose of a port number in the transport layer? | Identifies which application on the destination device should receive the data
What is an IP address? | A unique numerical identifier assigned to a device on a network, used to deliver packets to the correct destination
