What is a programming paradigm? | An approach to using a programming language to solve a problem
An approach to using a programming language to solve a problem — what term is this? | Programming paradigm
What are the two broad categories of programming paradigm? | Imperative and declarative
Which programming paradigms fall under the imperative category? | Procedural and object-oriented
Which programming paradigms fall under the declarative category? | Functional and logic
What characterises imperative programming? | Code clearly specifies the actions to be performed in step-by-step instructions
What characterises declarative programming? | Code states the desired result rather than the exact instructions to achieve it; the language determines how to obtain the result
In what types of application is declarative programming commonly used? | Expert systems and artificial intelligence
What characterises functional programming? | Programs are built from reusable functions, often combined within each other, closely linked to mathematics
Name an example of a logic programming language | Prolog
What characterises logic programming? | Code defines a set of facts and rules based on the problem, and queries are used to find answers
What characterises procedural programming? | A type of imperative programming that uses a sequence of instructions which may be contained within procedures, carried out step by step
Why is procedural programming widely used? | It can be applied to a wide range of problems and is relatively easy to write and interpret
What is structured programming? | A subset of procedural programming where control flow uses four main structures: sequence, selection, iteration, and recursion
What is sequence in structured programming? | Code is executed line by line, from top to bottom
What is selection in structured programming? | A block of code runs only if a specific condition is met, using IF statements
What is iteration in structured programming? | A block of code is executed a certain number of times or while a condition is met, using FOR, WHILE, or REPEAT UNTIL loops
What is recursion? | A function that calls itself repeatedly until a stopping condition called a base case is met
What is a base case in recursion? | A condition in a recursive function that does not call the function again, stopping the recursion
What limitation does procedural programming have? | It cannot solve all types of problems, or may be inefficient for problems not easily expressed as a series of sequential instructions
What types of data do procedural languages provide? | Built-in data types such as integers and strings, and data structures such as arrays and dictionaries
What is assembly language? | A low-level language one level up from machine code that uses mnemonics instead of binary
A low-level language that uses mnemonics to represent machine code instructions — what is this? | Assembly language
What translates assembly language into machine code? | An assembler
What is a mnemonic in assembly language? | An abbreviation representing a machine code instruction
Why are assembly language instructions processor-specific? | Assembly language directly interacts with the CPU's special-purpose registers
Why is assembly language useful for embedded systems? | It allows direct interaction with hardware components
Why is assembly language not portable between different computers? | Its instructions are specific to a particular processor's instruction set
How many lines of machine code does each assembly language instruction typically correspond to? | Approximately one line
Why can assembly language produce more efficient code than high-level languages? | It provides direct control over hardware and low-level operations, avoiding the overhead of high-level abstractions
What is the Little Man Computer (LMC)? | A hypothetical simplified computer model used for understanding the fundamental operations of a computer
What does the LMC instruction ADD do? | Adds the value at the given memory address to the value in the accumulator
What does the LMC instruction SUB do? | Subtracts the value at the given memory address from the value in the accumulator
What does the LMC instruction STA do? | Stores the value in the accumulator at the given memory address
What does the LMC instruction LDA do? | Loads the value at the given memory address into the accumulator
What does the LMC instruction INP do? | Allows the user to input a value, which is held in the accumulator
What does the LMC instruction OUT do? | Outputs the value currently held in the accumulator
What does the LMC instruction HLT do? | Stops the program, preventing further code from executing
What does the LMC instruction DAT do? | Creates a labelled memory location where data can be stored
What does the LMC instruction BRZ do? | Branches to a given address if the value in the accumulator is zero (conditional branch)
What does the LMC instruction BRP do? | Branches to a given address if the value in the accumulator is zero or positive (conditional branch)
What does the LMC instruction BRA do? | Branches to a given address unconditionally, regardless of the accumulator value
How does a conditional branch differ from an unconditional branch in LMC? | A conditional branch (BRZ, BRP) only branches when a specific condition is met; an unconditional branch (BRA) always branches
What two parts make up a machine code instruction? | Opcode and operand
What does the opcode specify in a machine code instruction? | The instruction to be performed
What does the operand hold in a machine code instruction? | A value related to the data on which the instruction is to be performed
Where is the addressing mode encoded within a machine code instruction? | As part of the opcode
What does the addressing mode determine? | How the operand should be interpreted
What is immediate addressing? | The operand is the actual value upon which the instruction is to be performed
The operand is the actual value to be used — what addressing mode is this? | Immediate addressing
What is direct addressing? | The operand gives the memory address that holds the value upon which the instruction is to be performed
The operand gives the memory address holding the required value — what addressing mode is this? | Direct addressing
Which addressing mode does the LMC use? | Direct addressing
What is indirect addressing? | The operand gives the address of a register which holds another address where the actual data is located
The operand points to a register containing the address of the data — what addressing mode is this? | Indirect addressing
What is indexed addressing? | The effective address is calculated by adding the operand to the value in an index register
The effective address is found by adding the operand to an index register — what addressing mode is this? | Indexed addressing
