What is a data type? | A classification of data into groups according to the kind of data they represent
A classification of data into groups according to the kind of data they represent — what is this called? | A data type
What is an integer data type? | A data type used to represent whole numbers (positive, negative, or zero) with no fractional part
A data type that stores whole numbers with no fractional part — what is it called? | Integer
What is a real (floating point) data type? | A data type used to represent numbers that can have a fractional part, either positive or negative
A data type that stores numbers with a possible fractional part — what is it called? | Real (floating point)
What is a character data type? | A data type used to represent a single symbol such as a letter, digit, or symbol
A data type that represents a single symbol — what is it called? | Character (char)
What is a string data type? | A data type used to represent a sequence of characters
A data type that stores a sequence of characters — what is it called? | String
What is a Boolean data type? | A data type that can only hold one of two values: True or False
A data type restricted to the values True and False — what is it called? | Boolean
Why are strings useful for storing phone numbers? | Phone numbers can start with a 0, which numeric data types like integer would cut off, so storing as a string preserves the leading zero
Give an example of when you would use a Boolean data type | Recording data that can only take two values, such as whether a product is in stock or out of stock
How does a real data type differ from an integer data type? | A real can have a fractional part (e.g. 3.14), while an integer can only store whole numbers (e.g. 3). All integers are real numbers, but not all reals are integers
What is casting? | Converting one data type to another data type, e.g. converting the string "12" to the integer 12
Converting one data type to another — what is this process called? | Casting
Why is casting often necessary when processing user input? | User input typically arrives as a string, so it must be cast to a numerical format before arithmetic comparisons or calculations can be performed
In Python, how do you cast the string "123" to an integer? | int("123")
What happens when you cast a real value like 5.7 to an integer in Python? | The fractional part is truncated (removed), giving 5 — it does not round
What is binary? | A base-2 number system that represents information using only two digits: 0 and 1
A number system using only the digits 0 and 1 — what is it called? | Binary (base-2)
What is a bit? | The smallest unit of digital information, representing either a 0 (off) or a 1 (on)
The smallest unit of digital information — what is it called? | A bit
What is a byte? | A group of 8 bits
A group of 8 bits — what is this called? | A byte
What is a nibble (nybble)? | A group of 4 bits (half a byte)
A group of 4 bits — what is this called? | A nibble (nybble)
Why do computers store data in binary? | Computers are made up of electronic circuits and switches that are either on (1) or off (0), so binary naturally maps to these two physical states
What are the place values of an 8-bit unsigned binary number from left to right? | 128, 64, 32, 16, 8, 4, 2, 1
Convert the 8-bit binary number 01101001 to denary | 64 + 32 + 8 + 1 = 105
Convert the denary number 47 to binary | 00101111 (32 + 8 + 4 + 2 + 1 = 47)
What is the maximum denary value that can be stored in an 8-bit unsigned binary number? | 255 (11111111 in binary)
What is the denary number system? | A base-10 number system used by humans, consisting of 10 digits ranging from 0 to 9
What is the difference between the most significant bit (MSB) and the least significant bit (LSB)? | The MSB is the leftmost bit with the highest place value; the LSB is the rightmost bit with the lowest place value (1)
What does a subscript of 2 indicate in number representation (e.g. 10₂)? | The number is in binary (base-2)
What does a subscript of 16 indicate in number representation (e.g. 10₁₆)? | The number is in hexadecimal (base-16), so 10₁₆ = 16 in denary
What is the purpose of abstraction layers above binary? | They allow basic binary data to be interpreted as more meaningful information such as text, images, sound, and video
What is an unsigned binary number? | A binary number that can only represent positive values (no sign information)
What is a signed binary number? | A binary number that can represent both positive and negative values
How does a signed binary number differ from an unsigned binary number? | A signed number uses part of its representation (typically the MSB) to indicate positive or negative, while an unsigned number uses all bits for magnitude only
Name the two methods for representing negative numbers in binary | Sign and magnitude, and two's complement
In sign and magnitude representation, what does the MSB represent? | The sign of the number: 0 means positive, 1 means negative
In sign and magnitude, what do the remaining bits after the MSB represent? | The magnitude (absolute value) of the number
Convert the 8-bit sign and magnitude binary number 10001011 to denary | MSB is 1 (negative), magnitude is 0001011 = 11, so the answer is -11
Convert the denary number -71 to 8-bit sign and magnitude binary | 71 in binary is 1000111, with negative sign bit: 11000111
What is the consequence of using the MSB as a sign bit in sign and magnitude? | The maximum positive value is halved because one bit is used for the sign instead of magnitude
What is two's complement? | A method for representing negative numbers in binary where the MSB represents a negative value, and the remaining bits count upwards from it
A method of representing negative numbers where the MSB has a negative place value — what is it called? | Two's complement
What are the three steps to convert a positive binary number to its negative two's complement form? | 1) Start with the absolute value in binary, 2) Invert all bits (flip 0s to 1s and 1s to 0s), 3) Add 1
Convert the denary number -7 to 8-bit two's complement | 7 = 00000111; invert = 11111000; add 1 = 11111001
