What is a database? | An organised collection of data that allows easy storage, retrieval, and management of information
An organised collection of data that allows easy storage, retrieval, and management of information — what is this? | A database
What is a field in a database? | A single piece of data in a record
A single piece of data in a record — what database term describes this? | A field
What is a record in a database? | A group of related fields representing one data entry (one complete row in a table)
A group of related fields representing one data entry — what database term describes this? | A record
What is a table in a database? | A collection of records with a similar structure
What is a primary key? | A unique identifier for each record in a table, usually an ID number
A unique identifier for each record in a table — what database term describes this? | A primary key
What is a compound (composite) primary key? | A combination of two or more fields that together form a unique identifier for each record
A primary key made up of two or more fields combined — what is this called? | A compound (composite) primary key
What is a foreign key? | A field in one table that refers to the primary key in another table, used to link tables and create relationships
A field in a table that references the primary key of another table to create a relationship — what is this called? | A foreign key
What is a secondary key? | A field or fields that are indexed to allow faster searching of the database
A field that is indexed to speed up database searches — what is this called? | A secondary key
What is a Database Management System (DBMS)? | Software used to manage databases, e.g. MySQL, Oracle, Microsoft SQL Server, PostgreSQL
Software used to create, manage, and interact with databases — what is this called? | A Database Management System (DBMS)
Explain how indexing speeds up data retrieval in a database | Indexed columns allow the DBMS to jump directly to relevant records instead of scanning every record sequentially, similar to using the index of a book to find a topic
What is a flat file database? | A database that stores all data in a single table
A database that stores all data in a single table — what type of database is this? | A flat file database
What is a relational database? | A database that organises data into multiple related tables, using keys to connect related data
A database that organises data into multiple linked tables using keys — what type of database is this? | A relational database
How does a flat file database differ from a relational database? | A flat file stores all data in a single table, leading to redundancy and inconsistency. A relational database splits data across multiple tables linked by keys, reducing redundancy and improving consistency
Give two problems caused by storing all data in a single flat file table | Data redundancy (repeated data wastes storage) and data inconsistency (if repeated data is updated in one place but not another)
Explain why splitting a flat file into multiple related tables reduces data inconsistency | Each piece of data is stored only once, so updating it in one place automatically applies across the entire database, eliminating the risk of mismatched copies
What is an entity in the context of databases? | Something worthy of capturing and storing data about, e.g. students, orders, products. Entities become tables in a relational database
Something about which data is stored, which becomes a table in a relational database — what is this called? | An entity
What is an attribute in a database? | A characteristic of an entity about which data is collected (i.e. a column/field in a table)
What are the three types of relationship between entities in a relational database? | One-to-one, one-to-many, and many-to-many
In a one-to-one relationship, how many entities on each side can be linked? | Each entity on one side is linked to exactly one entity on the other side
In a one-to-many relationship, how are entities linked? | One entity on one side can be linked to many entities on the other side, but each entity on the many side links to only one on the one side
In a many-to-many relationship, how are entities linked? | Each entity on one side can be linked to many entities on the other side, and vice versa
What is an Entity Relationship Diagram (ERD)? | A diagram that represents the entities (tables) in a database and the relationships between them, using crow's foot notation
How is a one-to-many relationship drawn in crow's foot notation? | A single line on the "one" side and a branching crow's foot on the "many" side
How can you tell from an ERD which table will contain a foreign key? | The table on the "many" side of a relationship will contain a foreign key linking to the primary key of the table on the "one" side
Why can a many-to-many relationship not be directly implemented in a relational database? | Relational databases cannot directly represent many-to-many relationships. They must be resolved by creating a link (junction) table between the two entities
How is a many-to-many relationship resolved? | By creating a link (junction) table between the two entities, turning the many-to-many into two one-to-many relationships
What is normalisation? | The process of organising a database to reduce data duplication and improve data accuracy, consistency, and maintainability
The process of organising a relational database to reduce redundancy and improve consistency — what is this called? | Normalisation
What are the four requirements for a table to be in First Normal Form (1NF)? | It must contain atomic values (single indivisible values per cell), have no repeating groups, have unique column names, and have a primary key
What does "atomic" mean in the context of 1NF? | Each cell in the table contains only a single, indivisible value (not lists or arrays)
The requirement that each cell contains only a single indivisible value — what database concept is this? | Atomicity (required for First Normal Form)
What are the requirements for Second Normal Form (2NF)? | The table must be in 1NF, and all non-key attributes must be fully dependent on the entire primary key (no partial dependencies). This only applies to tables with a composite primary key
What is a partial dependency? | When a non-key attribute depends on only part of a composite primary key rather than the whole key
A non-key attribute that depends on only part of a composite primary key — what is this called? | A partial dependency
How do you remove a partial dependency to achieve 2NF? | Move the partially dependent attribute(s) into a separate table with the part of the key they depend on as the new primary key, and link with a foreign key
What are the requirements for Third Normal Form (3NF)? | The table must be in 2NF, and there must be no transitive dependencies (every non-key attribute must depend only on the primary key, not on other non-key attributes)
What is a transitive dependency? | When a non-key attribute depends on another non-key attribute rather than directly on the primary key
A non-key attribute that depends on another non-key attribute rather than the primary key — what is this called? | A transitive dependency
How do you remove a transitive dependency to achieve 3NF? | Move the transitively dependent attributes into a separate table and link back using a foreign key
How does 1NF differ from 2NF? | 1NF requires atomic values, no repeating groups, unique column names, and a primary key. 2NF additionally requires no partial dependencies (all non-key attributes must depend on the whole composite key)
How does 2NF differ from 3NF? | 2NF removes partial dependencies (non-key attributes depending on part of a composite key). 3NF additionally removes transitive dependencies (non-key attributes depending on other non-key attributes)
Name six methods of capturing data for a database | Forms, OMR (Optical Mark Recognition), OCR (Optical Character Recognition), sensors, barcodes, and data mining
What is OMR (Optical Mark Recognition)? | A technology that detects marked areas on paper using a special machine, used for exams, surveys, and lottery tickets
A technology that detects pencil marks in predefined positions on paper — what is this called? | Optical Mark Recognition (OMR)
What is OCR (Optical Character Recognition)? | A technology that converts printed or handwritten text into digital format for searching and editing
A technology that converts printed or handwritten text into a digital format — what is this called? | Optical Character Recognition (OCR)
How does OMR differ from OCR? | OMR detects the presence and position of marks (e.g. filled bubbles), while OCR recognises and converts actual characters (letters and numbers) into digital text
What is data mining? | The process of discovering hidden patterns, correlations, and insights from large datasets using techniques from machine learning, statistics, and AI
The process of discovering hidden patterns and insights from large datasets — what is this called? | Data mining
What is the difference between a 1D barcode and a 2D barcode? | A 1D barcode uses parallel lines of varying widths and spacings. A 2D barcode (e.g. QR code) uses geometric patterns like squares, dots, or hexagons and can store more data
What is Query By Example (QBE)? | A user-friendly, visual interface method for constructing database queries where users enter criteria in a grid rather than writing SQL code
A visual, grid-based interface for constructing database queries without writing SQL — what is this called? | Query By Example (QBE)
How does QBE differ from SQL for querying a database? | QBE uses a visual grid interface accessible to non-technical users, while SQL requires writing text-based query commands. QBE is easier to learn but less powerful and flexible for complex queries
Name three data exchange formats used with databases | CSV (Comma Separated Values), JSON (JavaScript Object Notation), and EDI (Electronic Data Interchange)
What is CSV? | A simple data exchange format that stores tabular data in plain text, using commas to separate values
A plain text format that stores tabular data using commas to separate values — what is this called? | CSV (Comma Separated Values)
What is JSON? | A lightweight, human-readable data interchange format that uses key-value pairs, commonly used in web applications
A lightweight data interchange format using key-value pairs, common in web applications — what is this called? | JSON (JavaScript Object Notation)
What is EDI (Electronic Data Interchange)? | A standardised method for electronically transferring documents and data between businesses without human interaction
A standardised method for transferring business documents electronically between organisations — what is this called? | EDI (Electronic Data Interchange)
What is an API (Application Programming Interface)? | A set of protocols that allow different software applications to communicate with each other and exchange data
A set of protocols enabling different software applications to communicate and exchange data — what is this called? | An API (Application Programming Interface)
What is SQL? | Structured Query Language, a programming language used to interact with and manipulate relational databases via a DBMS
A declarative programming language used to query and manipulate relational databases — what is this called? | SQL (Structured Query Language)
What does the SELECT statement do in SQL? | Retrieves specified fields (columns) from a database table
What does the FROM clause do in SQL? | Specifies which table(s) data should be retrieved from
What does the WHERE clause do in SQL? | Filters records based on a specified condition
What does the LIKE keyword do in SQL? | Filters data based on a pattern match, used with the % wildcard character
What does the % wildcard do in a SQL LIKE clause? | Represents zero or more characters in a pattern match (e.g. 'J%' matches any string starting with J)
What does the * wildcard do in a SQL SELECT statement? | Selects all columns/fields from the specified table
How do AND and OR differ in a SQL WHERE clause? | AND requires all conditions to be true for a record to be returned. OR requires at least one condition to be true
What does ORDER BY do in SQL? | Sorts the results in ascending (default) or descending order based on a specified column
How do you sort SQL results in descending order? | Add DESC after the ORDER BY column name, e.g. ORDER BY Age DESC
What is a nested SELECT (subquery) in SQL? | A SELECT statement placed inside another SELECT statement, where the inner query's result is used by the outer query
A SELECT statement embedded within another SELECT statement — what SQL feature is this? | A nested SELECT (subquery)
What does JOIN (INNER JOIN) do in SQL? | Combines rows from two or more tables based on a related column (typically matching a foreign key to a primary key)
Write the SQL syntax to select all fields from a table called Students | SELECT * FROM Students;
Write SQL to select names from a Customers table where the country starts with 'U' | SELECT Name FROM Customers WHERE Country LIKE 'U%';
What does INSERT INTO do in SQL? | Adds a new record (row) to a database table
Write the general SQL syntax to insert a new record | INSERT INTO TableName (column1, column2) VALUES (value1, value2);
What does DELETE FROM do in SQL? | Removes records from a database table that match a specified condition
Write SQL to delete all records from a Songs table where the Artist is 'RandomBits' | DELETE FROM Songs WHERE Artist = 'RandomBits';
What does DROP TABLE do in SQL? | Permanently deletes an entire table and all its data from the database
How does DELETE FROM differ from DROP TABLE in SQL? | DELETE FROM removes specific records (rows) from a table based on a condition, keeping the table structure. DROP TABLE removes the entire table including its structure
What does the UPDATE statement do in SQL? | Modifies existing records in a database table
Write the general SQL syntax to update a record | UPDATE TableName SET column1 = value1 WHERE condition;
What does CREATE TABLE do in SQL? | Creates a new table in a database, specifying column names, data types, primary keys, and constraints
What does ALTER TABLE do in SQL? | Modifies an existing table structure by adding, deleting, or modifying columns
What does NOT NULL mean in a SQL CREATE TABLE statement? | The field must contain a value and cannot be left empty
Name four SQL data types | INTEGER (whole numbers), VARCHAR(n) (variable-length string up to n characters), BOOLEAN (true/false), FLOAT (decimal number)
How does CHAR(n) differ from VARCHAR(n) in SQL? | CHAR(n) stores a fixed-length string of exactly n characters (padded if shorter). VARCHAR(n) stores a variable-length string up to a maximum of n characters (no padding)
What is referential integrity? | The principle that ensures consistency between related tables by requiring every foreign key value to match an existing primary key in the linked table (or be null)
The principle that every foreign key must reference a valid existing primary key in the linked table — what is this called? | Referential integrity
What happens if referential integrity is violated? | Orphaned records are created, where a foreign key references a primary key that no longer exists, leading to data inconsistency
What is a cascade action in the context of referential integrity? | An automatic action (such as delete or update) applied to related records when the referenced primary key is changed or deleted
Name four types of cascade action for maintaining referential integrity | CASCADE (automatically updates/deletes related records), SET NULL (sets foreign key to null), SET DEFAULT (sets foreign key to default value), NO ACTION/RESTRICT (prevents the change if related records exist)
What is a transaction in database terms? | A sequence of database operations treated as a single unit of work that must either fully complete or not happen at all
A sequence of database operations treated as a single indivisible unit of work — what is this called? | A transaction
What does ACID stand for in database transaction processing? | Atomicity, Consistency, Isolation, Durability
What does Atomicity mean in ACID? | All operations in a transaction must succeed or fail as a whole. If any operation fails, the entire transaction is rolled back, so partial transactions cannot occur
All operations in a transaction succeed or fail as a whole — which ACID property is this? | Atomicity
What does Consistency mean in ACID? | A transaction must move the database from one valid consistent state to another, following all rules and constraints
A transaction must leave the database in a valid state, maintaining all rules and constraints — which ACID property is this? | Consistency
What does Isolation mean in ACID? | Transactions executing simultaneously must not affect each other. Intermediate states are not visible to other transactions
Concurrent transactions must produce the same result as if they ran sequentially — which ACID property is this? | Isolation
What does Durability mean in ACID? | Once a transaction has been committed, its changes persist permanently even in the event of a system failure
Committed transactions persist even after a system crash — which ACID property is this? | Durability
What is record locking? | A technique that prevents conflicting simultaneous access to the same database record by multiple transactions, ensuring data consistency
A technique that prevents multiple transactions from simultaneously modifying the same database record — what is this called? | Record locking
How does a shared lock differ from an exclusive lock? | A shared (read) lock allows multiple transactions to read a record simultaneously but blocks modifications. An exclusive (write) lock allows only one transaction to access and modify the record, blocking all other access
What is deadlock in database transaction processing? | A situation where two or more transactions are each waiting for the other to release a locked resource, so neither can proceed
Two or more transactions each waiting for the other to release a resource, causing all to wait indefinitely — what is this called? | Deadlock
Give an example scenario that causes deadlock | User 1 locks Record A and tries to access Record B. User 2 locks Record B and tries to access Record A. Both wait for the other to release their lock, so neither can proceed
Name two techniques for concurrency control in databases | Locking (prevents simultaneous access to the same data) and timestamping (assigns a unique timestamp to each transaction to determine execution order)
What is the purpose of commit and rollback in transaction processing? | Commit saves all changes from a transaction permanently. Rollback reverts all changes if any part of the transaction fails, restoring the database to its previous consistent state
How does commit differ from rollback? | Commit makes all changes from a transaction permanent. Rollback undoes all changes from a transaction, returning the database to its state before the transaction began
What does redundancy mean in a database context? | The same piece of data being stored in more than one place, which can lead to data inconsistency and wasted storage
The same data stored in multiple places within a database, leading to potential inconsistency — what is this called? | Data redundancy
How does normalisation help reduce redundancy? | By splitting data across multiple related tables so each piece of information is stored only once, linked by foreign keys
What is the role of logging and recovery in transaction processing? | A log records all changes made during transactions. If a crash occurs, the log is used to recover the database to a consistent state by replaying committed transactions and rolling back incomplete ones
What is the two-phase commit protocol? | A protocol used in distributed systems to ensure a transaction is either committed across all participating nodes or not committed at all, maintaining consistency
Name three solutions to prevent or resolve deadlock | Deadlock prevention (ordering resource requests), deadlock detection with timeout mechanisms, and killing/rolling back one of the deadlocked transactions
How does the flat file entity notation work? | Entity name in bold, primary key underlined, foreign key marked with asterisk: Entity(PrimaryKey, Attribute1, ForeignKey*)
What are the four goals normalisation tries to achieve? | No redundancy (unnecessary duplicates), consistent data throughout linked tables, records can be added and removed without issues, and complex queries can be carried out
