What is the Accumulator (ACC)? | A special register that temporarily stores the results of operations performed by the ALU
A special register that temporarily stores results of ALU operations — what is this register called? | The Accumulator (ACC)
What is the Address Bus? | A bus that carries the memory location address of the register data is being carried to or from
A bus that carries memory location addresses between components — what is it called? | The Address Bus
What is the Arithmetic and Logic Unit (ALU)? | A part of the CPU that performs arithmetic calculations and logical operations on data
The component of the CPU that performs arithmetic and logical operations — what is it called? | The Arithmetic and Logic Unit (ALU)
What are buses in a computer system? | A physical set of parallel wires connecting and carrying groups of bits between several components of a computer
A physical set of parallel wires that carry groups of bits between computer components — what term describes this? | Buses
What is cache? | A small, fast, but expensive memory in the CPU used to store frequently accessed instructions and data
A small, fast, expensive memory inside the CPU for frequently used instructions and data — what is this called? | Cache
What is clock speed? | The frequency at which the internal clock generates signals (switching between 0 and 1), controlling how often instructions are executed and data is fetched
The frequency at which the CPU's internal clock generates timing signals — what is this called? | Clock speed
What is Contemporary Processor Architecture? | A modern architecture combining elements of both Von Neumann and Harvard architectures
A processor architecture that combines features of both Von Neumann and Harvard designs — what is it called? | Contemporary Processor Architecture
What is the Control Bus? | A bi-directional bus carrying control signals from the CU to synchronise access and use of data
A bi-directional bus carrying control signals from the CU to synchronise data access — what is it called? | The Control Bus
What is the Control Unit (CU)? | A part of the CPU that controls and manages the execution of instructions by sending control signals, coordinating Fetch-Decode-Execute cycles and buses
The CPU component that sends control signals to coordinate instruction execution and manage the FDE cycle — what is it called? | The Control Unit (CU)
What is the Current Instruction Register (CIR)? | A special register that stores the current instruction being executed and decoded, divided into operand and opcode
A register that holds the instruction currently being decoded and executed — what is it called? | The Current Instruction Register (CIR)
The instruction in the CIR is divided into which two parts? | Operand and opcode
What is the Data Bus? | A bi-directional bus for carrying data and instructions between the processor and memory
A bi-directional bus that carries data and instructions between the processor and memory — what is it called? | The Data Bus
How does the Address Bus differ from the Data Bus? | The Address Bus is unidirectional and carries memory addresses only. The Data Bus is bi-directional and carries actual data and instructions.
What are the three stages of the Fetch-Decode-Execute (FDE) cycle? | Fetch (supply address, retrieve instruction from memory), Decode (interpret instruction, read required data), Execute (CPU carries out the required actions)
What happens during the Fetch stage of the FDE cycle? | The address is supplied and the instruction is retrieved from memory
What happens during the Decode stage of the FDE cycle? | The instruction is interpreted, and the required data is read and retrieved from their addresses
What happens during the Execute stage of the FDE cycle? | The CPU carries out the required actions specified by the instruction
What is Harvard Architecture? | A computer architecture that stores data and instructions in separate memories, allowing the next instruction to be read while data is currently being read or written
A computer architecture using separate memory for data and instructions so they can be accessed simultaneously — what is it called? | Harvard Architecture
What advantage does Harvard Architecture gain from using separate memories for data and instructions? | The next instruction can be fetched while data is still being read or written, increasing throughput
What is the Memory Address Register (MAR)? | A special register that stores the memory address of the next instruction to load or data to use
A register that holds the memory address of the next instruction or data to be accessed — what is it called? | The Memory Address Register (MAR)
What is the Memory Data Register (MDR)? | A special register that temporarily stores data to be read from or written to the computer's memory
A register that temporarily holds data being transferred to or from main memory — what is it called? | The Memory Data Register (MDR)
How does the MAR differ from the MDR? | The MAR holds the memory address being accessed. The MDR holds the actual data being read from or written to that address.
What is a core in a processor? | A processing unit that handles instructions with its own Fetch-Decode-Execute cycle
What is a multi-core processor? | A processor with multiple cores that can run simultaneously
What is pipelining? | The simultaneous processing of several instructions by decoding the next instruction and fetching the one after while the current one is being executed
Simultaneously decoding the next instruction and fetching the one after while the current instruction executes — what technique is this? | Pipelining
What is the Program Counter (PC)? | A special purpose register that stores the address of the next instruction to execute
A register that holds the address of the next instruction to be executed — what is it called? | The Program Counter (PC)
What are registers? | Special memory cells that can be accessed very quickly, used to temporarily store data and control information
Fast-access memory cells used to temporarily store data and control information — what are these called? | Registers
