What is compression? | The process of reducing the storage space required by a file
Why is compression important for networks? | Smaller files transfer faster over networks, so more files can be transmitted in a given time and less bandwidth is consumed
The process of reducing file size to facilitate efficient data transfer over the Internet — what is this called? | Compression
What are the two categories of compression? | Lossy and lossless
What is lossy compression? | A method that reduces file size by permanently discarding some data, resulting in a loss of quality
A compression method that permanently removes some data to reduce file size — what type of compression is this? | Lossy compression
What is lossless compression? | A method that reduces file size without losing any information, allowing the original file to be fully recovered
A compression method that reduces file size while preserving all original data — what type of compression is this? | Lossless compression
How does lossy compression differ from lossless compression? | Lossy permanently discards data so the original cannot be recovered, producing smaller files. Lossless preserves all data so the original can be fully restored, but produces larger files than lossy
Can the original file be recovered from a lossy compressed version? | No, because the discarded data is permanently lost with no record of what was removed
Can the original file be recovered from a lossless compressed version? | Yes, the original file can be fully restored from the compressed version
Give an example of how lossy compression is applied to audio files | Very high and very low frequencies that are least noticeable to the human ear are removed
Lossy compression results in a more [...] image or less [...] audio recording | pixelated; clear
Name one benefit of lossy compression | Greatly reduced file sizes, suitable for media streaming where some data loss is acceptable
Name one drawback of lossy compression | Irreversible loss of data quality, making it unsuitable for text or archival storage
Name one benefit of lossless compression | Maintains original data integrity, making it best for text and data that must remain intact
Name one drawback of lossless compression | Produces larger file sizes than lossy compression and requires higher bandwidth when streaming
When should you recommend lossy compression? | When achieving a small file size or quick data transfer is prioritised, and some data loss is acceptable (e.g. social media images, streaming media)
When should you recommend lossless compression? | When data integrity is imperative and no information can be lost (e.g. text files, professional logos, archival storage)
What is run length encoding (RLE)? | A method of lossless compression where consecutive repeated values are replaced with one occurrence of the data followed by the number of times it is repeated
A lossless compression method that replaces consecutive identical values with a single value and a count — what is this called? | Run length encoding (RLE)
How would the string AAAAAABBBBBCCC be represented using RLE? | A6B5C3
How would the RLE sequence 4A3B2C1D2A be decompressed? | AAAABBBCCDAA
When does RLE work well? | When consecutive pieces of data are the same (i.e. there is lots of repetition in the data)
When does RLE perform poorly? | When there is little repetition in the data, because it cannot offer a significant reduction in file size
RLE is used in [...] images to compress sequences of the same colour | bitmap
What is dictionary encoding (dictionary coding)? | A method of lossless compression where frequently occurring pieces of data are replaced with shorter index codes, stored alongside a dictionary that maps each index to its original data
A lossless compression method that replaces recurring sequences with shorter codes using a lookup table — what is this called? | Dictionary encoding (dictionary coding)
