What is a network? | Two or more computers connected together with the ability to transmit data between each other.
What is a LAN? | Local Area Network - a network spread over a small geographical area or single site (e.g., a school).
What is a WAN? | Wide Area Network - a network spread over a large geographical area, often connecting multiple sites.
What is a protocol? | A set of rules defining how two computers communicate with each other.
Why are protocols standard? | So all devices have a designated method of communicating with each other, regardless of manufacturer.
What does HTTP stand for and what is it used for? | Hypertext Transfer Protocol - used for web page rendering.
What does HTTPS stand for? | HTTP Secure - an encrypted version of HTTP that is becoming more common.
What does TCP/IP stand for? | Transmission Control Protocol / Internet Protocol - used in routing packets through networks.
What are POP3 and IMAP? | Post Office Protocol and Internet Message Access Protocol - mailing protocols used for email access.
What does FTP stand for and what is it used for? | File Transfer Protocol - used for the transmission of files over networks.
What is the Internet? | A network of networks allowing computers on opposite sides of the globe to communicate.
How are continents connected on the Internet? | Using large international backbone cables, many of which pass underwater.
What are the four layers of the TCP/IP stack? | Application Layer, Transport Layer, Network Layer, Link Layer.
What does the Application Layer do? | Specifies what protocol needs to be used to relate to the application being sent (e.g., HTTP, POP3, FTP).
What does the Transport Layer do? | Uses TCP to establish end-to-end connection, splits data into packets, labels packets with numbers and port numbers.
What does the Network Layer do? | Adds source and destination IP addresses to packets. Routers operate on this layer to forward packets.
What is a socket address? | The combination of an IP address and a port number.
What does the Link Layer do? | Creates connection between network devices, adds MAC addresses of source and destination computers.
How are packets processed at the receiving computer? | From bottom to top - MAC address removed by Link Layer, IP addresses removed by Network Layer, port number removed and packets reassembled by Transport Layer, data presented by Application Layer.
What is DNS? | Domain Name System - the system used to name and organise internet resources, translating domain names into IP addresses.
What does TLD stand for? | Top Level Domain (e.g., .com, .org, .uk).
What does 2LD stand for? | 2nd Level Domain (e.g., the "google" in google.com).
What is the role of a DNS server? | To translate domain names into IP addresses when accessing a website.
What does a data packet header contain? | Sender and recipient IP addresses, protocol being used, order of packets, Time To Live/Hop Limit.
What is the payload in a data packet? | The raw data to be transmitted.
What does the trailer in a data packet contain? | A checksum or cyclic redundancy check used to detect transmission errors.
What is packet switching? | A method of communication where data is sent in packets across the most efficient route, which can vary for each packet.
What is an advantage of packet switching? | Multiple methods ensure data arrives intact (checksums, cyclic redundancy checks), multiple routes can be used if one breaks.
What is a disadvantage of packet switching? | Time is spent deconstructing and reconstructing packets, must wait for all packets to arrive before data can be received.
What is circuit switching? | A method of communication where a direct link is created between two devices and maintained for the entire conversation.
What is an advantage of circuit switching? | Data arrives in logical order for quicker reconstruction, enables calls without delay in speech.
What is a disadvantage of circuit switching? | Bandwidth is wasted during periods with no data, devices must transfer and receive at same rate, ties up network sections.
What is a firewall? | A device designed to prevent unauthorised access to a network by comparing packets against preconfigured rules.
What is packet filtering? | Limiting network access according to administrator rules by examining source IP, destination IP, protocols, and ports.
What happens when a firewall denies access? | The packet is either dropped (no alert) or rejected (alert sent to sender).
What is a proxy server? | An intermediary that collects and sends data on behalf of the user.
What are benefits of using proxy servers? | User privacy and anonymity, caching frequently used data for faster loading, reducing web traffic, blocking access to sensitive information.
What is encryption? | A way of keeping data secure when transmitting over the Internet by making it unreadable if intercepted.
What is a NIC? | Network Interface Card - hardware required to connect a device to a network, assigns a unique MAC address.
What is a MAC address? | Media Access Control address - a 48-bit value coded into the device, usually written as a twelve-digit hexadecimal number.
What is a switch? | A device used to direct the flow of data across a network, commonly used in star topology networks.
What is a WAP? | Wireless Access Point - a device that allows devices to connect to a network wirelessly.
What is a router? | A device used to connect two or more networks together, allowing private networks to connect to the Internet.
What is a gateway? | A device used when protocols are not the same between networks, translating protocols by removing headers and adding data to packets with new protocol.
What is a client-server network? | A network where powerful server computers control the network and serve clients with services like files, email, and web access.
What are advantages of client-server networks? | More secure with centralised data storage, central backups, data and resources can be shared between clients.
What are disadvantages of client-server networks? | Relatively expensive to set up, functionality depends on server, trained staff required to maintain server.
What is a peer-to-peer network? | A network where computers are connected to each other so they can share files, with each device acting as both server and client.
What are advantages of peer-to-peer networks? | Cheaper to set up, allows resource sharing, easy to maintain, not dependent on central server, no specialist staff required.
What are disadvantages of peer-to-peer networks? | Impossible to trace origin of files, backups must be performed separately, poorer security, may be difficult to locate resources.
Why is WAN infrastructure typically owned by third parties? | WANs usually require extra telecommunication hardware that is too expensive for single organisations to own.
What is the largest WAN? | The Internet, made up of a series of smaller networks.
What is protocol layering? | The way network protocols are divided into layers, each performing specific functions.
Why use protocol layering? | Modularity (easier design and troubleshooting), interoperability (different technologies work together), ease of updates, specialisation.
What is packetising? | The process where a large message is divided into smaller, manageable units called packets.
What information is in a packet header? | Source IP address, destination IP address, sequence number, protocol, packet length, checksum.
What is Time To Live (TTL)? | Information in packet header that tells the packet when to expire so it doesn't travel forever.
What is a hub? | A networking device that connects multiple devices but broadcasts all data to every connected device.
