What is compression? | The process of reducing the storage space required by a file
The process of reducing file size to store more data in the same space — what is this called? | Compression
Why is compression important for transferring files over networks? | Smaller files transfer faster, reducing transmission time and bandwidth consumption
What are the two categories of compression? | Lossy and lossless
What is lossy compression? | A method that reduces file size by permanently removing some data from the file
A compression method that permanently discards some data to achieve smaller file sizes — what type of compression is this? | Lossy compression
What is lossless compression? | A method that reduces file size without losing any information, allowing the original file to be fully recovered
A compression method where the original file can be perfectly reconstructed from the compressed version — what type is this? | Lossless compression
How does lossy vs lossless compression differ in terms of reversibility? | Lossy compression is irreversible (original data cannot be recovered). Lossless compression is reversible (original data can be fully restored)
Give an example of how audio files can be compressed using lossy compression | By removing very high or very low frequencies that are least noticeable to the human ear
Why can't a lossy-compressed file be restored to its original form? | Because the removed data is completely discarded with no record of what was lost
Name one benefit of lossy compression | Greatly reduced file sizes, suitable for media streaming where some data loss is acceptable
Name one drawback of lossy compression | Irreversible loss of data quality, making it unsuitable for text or archival storage
Name one benefit of lossless compression | Maintains original data integrity, best for text and data that must remain exact
Name one drawback of lossless compression | Larger file sizes than lossy compression, requires higher bandwidth when streaming
When should you recommend lossy compression? | When a small file size or quick data transfer is prioritised, and some quality loss is acceptable (e.g. social media images, streaming media)
When should you recommend lossless compression? | When data integrity is imperative and no information can be lost (e.g. text files, professional logos, archival storage)
What is run length encoding (RLE)? | A lossless compression method where consecutive repeated values are replaced with one occurrence of the data followed by the count of repetitions
A lossless compression method that replaces consecutive repeated values with a single value and a count — what is this called? | Run length encoding (RLE)
How would the string AAAAAABBBBBCCC be compressed using RLE? | A6B5C3
How would the RLE-compressed sequence 3C3M4C be decompressed? | CCCMMMCCCC
How would the string CCCCOLLLCCCCCMOCCCCC be compressed using RLE? | 4C1O3L5C1M1O5C
When does RLE work well? | When there are many consecutive repeated values in the data (high repetition)
When does RLE perform poorly? | When there is little consecutive repetition in the data, as it offers minimal reduction in file size
RLE is commonly used in [...] images to compress sequences of the same colour | bitmap
What is dictionary encoding (dictionary coding)? | A lossless compression method where frequently occurring data sequences are replaced with shorter index codes, stored alongside a dictionary that maps codes to original data
A lossless compression method that replaces recurring sequences with shorter unique codes stored in a lookup table — what is this called? | Dictionary encoding (dictionary coding)
How does dictionary encoding achieve compression? | Frequently occurring pieces of data are replaced with a shorter index value. The compressed data is stored alongside a dictionary mapping each index to the original data
Why must data compressed using dictionary encoding be transferred alongside its dictionary? | Without the dictionary, the index values cannot be mapped back to the original data, making the compressed data unusable
How does RLE differ from dictionary coding in when each is most effective? | RLE is most effective when data has lots of consecutive repetition. Dictionary coding is more versatile, handling non-consecutive repeated patterns, but may require more computational resources
What is encryption? | The process of converting readable data (plaintext) into an unreadable format (ciphertext) to secure it from unauthorised access during transmission or storage
The process of scrambling data into an unreadable format to protect it from unauthorised access — what is this called? | Encryption
What are 'keys' in the context of encryption? | Specialised values/programs used to encrypt (scramble) and decrypt (unscramble) data
What is symmetric encryption? | An encryption method where the same single private key is used by both the sender and receiver to encrypt and decrypt data
An encryption method where a single shared key is used for both encryption and decryption — what type of encryption is this? | Symmetric encryption
What is a key exchange in symmetric encryption? | The process by which the sender and receiver distribute the shared private key to each other
Why must the private key in symmetric encryption be kept secret? | If the key is intercepted during the key exchange, an attacker can decrypt all intercepted communications
What is the main vulnerability of symmetric encryption? | The challenge of securely sharing the key between sender and receiver; if intercepted during the key exchange, all communications can be decrypted
