What is the role of the CPU? | To process all data and execute instructions within the computer
What are the three main components of the CPU? | The Arithmetic and Logic Unit (ALU), the Control Unit (CU), and registers
What is the ALU (Arithmetic and Logic Unit)? | The CPU component that performs arithmetic calculations (e.g. addition, subtraction) and logic operations (e.g. AND, OR, NOT, XOR)
The CPU component that performs arithmetic calculations and logic comparisons — what is it called? | The Arithmetic and Logic Unit (ALU)
What is the Control Unit (CU)? | The CPU component that decodes instructions, controls the flow of data within the CPU, and coordinates activities between components
The component that decodes instructions and controls data flow within the CPU — what is it called? | The Control Unit (CU)
Name five jobs of the Control Unit | Controlling and coordinating CPU activities, managing data flow between CPU and other devices, accepting the next instruction, decoding instructions, storing resulting data back in memory
What are registers? | Small, high-speed temporary storage locations inside the CPU, each used for a single specific purpose
Temporary storage locations inside the CPU that operate at very high speed — what are these called? | Registers
Why are registers faster than RAM? | They are located inside the CPU, so data does not need to travel across buses to be accessed
What does the Program Counter (PC) hold? | The address of the next instruction to be executed
The register that holds the address of the next instruction to be executed — what is it called? | The Program Counter (PC)
What does the Accumulator (ACC) store? | The results of calculations, or values that have been inputted or loaded
The register that temporarily stores results from ALU calculations — what is it called? | The Accumulator (ACC)
What does the Memory Address Register (MAR) hold? | The address of a memory location that is to be read from or written to
The register that holds the address of a memory location being read from or written to — what is it called? | The Memory Address Register (MAR)
What does the Memory Data Register (MDR) hold? | Data or instructions that have been fetched from memory, or data that is about to be sent to memory
The register that temporarily holds data that has been read from or is about to be written to memory — what is it called? | The Memory Data Register (MDR)
What does the Current Instruction Register (CIR) hold? | The current instruction being executed, split into opcode and operand
The register where the fetched instruction is split into opcode and operand — what is it called? | The Current Instruction Register (CIR)
What are the four components within the ALU? | Arithmetic circuit, logic circuit, registers, and status flags
What does the arithmetic circuit in the ALU do? | Carries out addition, subtraction, multiplication, and division
What does the logic circuit in the ALU do? | Carries out Boolean logic operations such as AND, OR, NOT, and XOR
What are status flags in the ALU? | Indicators such as the overflow flag (value too large for the register) and zero flag (result is zero)
What is a bus in the context of a CPU? | A set of parallel wires that connect two or more components, used to transfer data between them
A set of parallel wires connecting components inside the CPU — what is this called? | A bus
What are the three buses that connect the CPU to main memory (RAM), and what is their collective name? | Data bus, address bus, and control bus, collectively called the system bus
What does the data bus do? | Carries data and instructions being sent to and from the CPU and RAM
What does the address bus do? | Carries memory addresses specifying where data is to be sent to or retrieved from
What does the control bus do? | Sends control signals to determine whether other buses are in read or write mode, and coordinates activities between components
How does the data bus differ from the control bus? | The data bus carries data and instructions between components; the control bus carries control signals that coordinate operations and determine read/write mode
Is the data bus unidirectional or bidirectional? | Bidirectional — bits can be carried in both directions
What is bus width? | The number of parallel wires in a bus, which determines how many bits can be transferred simultaneously
How does bus width affect data transfer? | The wider the bus, the more bits can be transferred simultaneously, increasing data throughput
What are typical bus widths? | 8, 16, 32, or 64 wires
How is the width of the address bus related to addressable memory? | The width of the address bus is directly proportional to the number of addressable memory locations
Name four control signals carried by the control bus | Bus request, bus grant, memory write, memory read, interrupt request, clock (any four)
What does the bus request control signal indicate? | That a device is requesting the use of the data bus
What does the bus grant control signal indicate? | That the CPU has granted access to the data bus
What does the interrupt request control signal indicate? | That a device is requesting access to the CPU
What does the clock signal on the control bus do? | Synchronises operations within the CPU
What is assembly language? | A low-level programming language that uses mnemonics to represent machine code instructions (e.g. ADD for addition)
What is an opcode? | The part of a machine code instruction that specifies the type of operation to be performed
What is an operand? | The part of a machine code instruction that contains the data or the address of the data to be operated on
How does an instruction split in the CIR? | It is divided into the opcode (the operation) and the operand (the data or address)
What is the fetch-decode-execute (FDE) cycle? | The continuous process the CPU goes through to fetch an instruction from memory, decode it, and execute it
What are the three stages of the FDE cycle? | Fetch (retrieve instruction from memory), Decode (interpret the instruction), Execute (carry out the required action)
In the fetch stage, what is the first step? | The address in the Program Counter (PC) is copied to the Memory Address Register (MAR)
In the fetch stage, what happens after the MAR receives the address? | The address is sent across the address bus, and a read signal is sent via the control bus; the data at that memory location is sent down the data bus to the MDR
What happens to the PC during the fetch stage? | It is incremented by 1 to point to the next instruction
What happens during the decode stage of the FDE cycle? | The instruction is copied from the MDR to the CIR, where it is split into opcode and operand, then sent to the CU for decoding
During an STA (store) instruction, which registers are involved? | The ACC (holds the value to store), the MDR (value is copied here from ACC), and the MAR (holds the destination memory address)
During an LDA (load) instruction, where does the data travel? | From RAM at the address in the MAR, across the data bus, to the MDR, and then to the ACC
During an ADD or SUB instruction, what happens? | Values are passed to the ALU, the arithmetic operation is carried out, and the result is stored in the ACC
During a branch instruction (BRA/BRZ/BRP), where does the comparison take place? | In the ALU
What happens to the PC when a branch instruction is executed? | The PC is updated with the address specified in the branch operand, instead of being incremented by 1
What are the three main factors that affect CPU performance? | Clock speed, number of cores, and cache
What is clock speed? | A measure of how many state changes (clock cycles) the CPU performs per second, measured in Hertz (Hz)
The number of state changes a CPU performs per second — what is this a measure of? | Clock speed
What is a state change in the CPU clock? | One transition from 0 to 1 (or 1 to 0); each change can represent a step in the fetch-decode-execute cycle
A typical computer might have a clock speed of 2.3 GHz. How many cycles per second is this? | 2,300,000,000 (approximately 2 billion) cycles per second
