What does RISC stand for? | Reduced Instruction Set Computer
A processor with a smaller instruction set containing simpler instructions — what type of processor is this? | RISC (Reduced Instruction Set Computer)
What does CISC stand for? | Complex Instruction Set Computer
A processor with a larger instruction set containing more complex instructions — what type of processor is this? | CISC (Complex Instruction Set Computer)
What is an instruction set? | The set of machine code instructions that a processor can execute
How many clock cycles does each RISC instruction take to execute? | One clock cycle
Why are RISC processors more suitable for pipelining than CISC? | Each RISC instruction takes exactly one clock cycle, so stages of successive instructions can overlap without variable-length stalls
What is pipelining? | A technique where stages of successive instructions overlap in execution, improving throughput
Why do RISC processors require more complicated compilers than CISC? | RISC has simpler instructions, so the compiler must do more work to translate high-level code into a larger number of machine code instructions
How does the number of addressing modes compare between RISC and CISC? | RISC has fewer addressing modes; CISC has more addressing modes
Which type of processor is typically used in smartphones and tablets? | RISC processors
Which type of processor is typically used in laptops and desktop computers? | CISC processors
How does the number of transistors compare between RISC and CISC? | RISC has fewer transistors; CISC has more transistors
How does clock cycle usage differ between RISC and CISC instructions? | RISC instructions take one clock cycle each; CISC instructions can take multiple clock cycles
Which processor type has more general purpose registers, RISC or CISC? | CISC has more general purpose registers
How does memory usage compare between RISC and CISC programs? | RISC programs take up more memory (more instructions); CISC programs take up less memory (fewer, more complex instructions)
How does power consumption differ between RISC and CISC? | RISC requires less power; CISC requires more power
How do manufacturing costs compare between RISC and CISC? | RISC costs less to manufacture; CISC costs more to manufacture
Why do RISC programs take up more space in memory than CISC programs? | RISC uses simpler instructions, so more instructions are needed to perform the same task, consuming more memory
Can a program written for a RISC processor run on a CISC processor? | No, programs written for RISC will not work on CISC and vice versa because they use different instruction sets
Can a program written for one RISC processor necessarily run on another RISC processor? | No, different RISC processors may have different instruction sets, so compatibility is not guaranteed
In the RISC approach to multiplying two numbers, how many instructions are needed compared to CISC? | RISC needs multiple instructions (e.g. LDA, LDA, MULT, STO — four instructions); CISC can do it in one instruction (e.g. MULT A, B)
What is a GPU? | A Graphics Processing Unit — a processor responsible for processing graphics to reduce the load on the CPU
A processor designed specifically for graphics that contains hundreds or thousands of smaller cores for parallel operations — what is this? | A GPU (Graphics Processing Unit)
How does a CPU differ from a GPU in terms of design purpose? | CPUs are general purpose processors; GPUs are designed specifically for graphics and parallel processing
What does it mean that GPUs can perform an instruction on multiple pieces of data at one time? | The GPU applies the same operation to many data points simultaneously (e.g. transforming multiple vertices or shading multiple pixels at once)
Where can a GPU be physically located in a computer? | Either as part of a dedicated graphics card or embedded within the CPU
What is a co-processor? | A secondary processor designed to supplement the activities of the primary processor (CPU)
Why is a GPU classified as a co-processor? | Because it supplements the CPU by handling specific tasks (graphics/parallel computation) rather than operating independently as the main processor
Why are GPUs faster than CPUs at processing graphics? | GPUs have hundreds/thousands of small cores optimised for parallel processing, so they can apply the same operation to many pixels/vertices simultaneously
What is SIMD processing? | Single Instruction Multiple Data — where multiple processing elements perform the same operation on multiple data points simultaneously
