What is the AND logical operator? | A logical operator that returns TRUE (1) only if ALL inputs are TRUE (1)
A logical operator that returns TRUE only when all inputs are TRUE — which operator is this? | AND
What is ASCII? | A character set that represents alphanumeric characters or symbols using 8 bits per character
A character set that uses 8 bits to represent alphanumeric characters or symbols — what is this called? | ASCII
What is binary? | A base-2 number system that uses only ones and zeros to represent numbers
A base-2 number system using only 1s and 0s — what is this called? | Binary
What is bitwise manipulation? | Operations performed directly on a set of bits
What is a Boolean data type? | A data type that can store only one of two possible values (e.g. TRUE/FALSE, 1/0)
A data type limited to exactly two possible values such as TRUE or FALSE — what is this? | Boolean
What is the Character data type? | A data type for storing a single letter, number, or special character
What is denary? | A base-10 number system that uses the digits 0 to 9 to represent numbers
A base-10 number system using digits 0–9 — what is this called? | Denary
What is floating point arithmetic? | Performing arithmetic operations on floating point numbers represented in binary
What is hexadecimal? | A base-16 number system that uses 16 characters (0–9 and A–F) to represent numbers
A base-16 number system using characters 0–9 and A–F — what is this called? | Hexadecimal
What is the Integer data type? | A data type for storing whole number values (positive or negative) with no decimal part
A data type that stores whole numbers with no fractional part — what is this? | Integer
What is the OR logical operator? | A logical operator that returns TRUE (1) if any one or more of its inputs are TRUE (1)
A logical operator that returns TRUE when at least one input is TRUE — which operator is this? | OR
What is a primitive data type? | A basic, built-in data type provided by a programming language
A basic built-in data type provided directly by a programming language — what term describes this? | Primitive data type
What is the Real/Floating Point data type? | A data type for storing numbers with decimal or fractional parts
A data type that stores numbers with decimal or fractional parts — what is this called? | Real (or Floating Point)
What are shifts in bitwise manipulation? | A bitwise operation where all bits are moved by one place in a given direction, with the end bit handled depending on the shift method (carried or wrapped)
What is the String data type? | A data type for storing a sequence of alphanumeric characters or symbols, typically within quotation marks
A data type that stores a sequence of characters typically enclosed in quotation marks — what is this? | String
What is two's complement? | A method of representing negative numbers in binary by flipping all bits of the positive number's binary form and then adding 1
Flipping all bits of a positive binary number and adding 1 — what method of representing negative numbers is this? | Two's complement
What is UNICODE? | A character set that is a superset of ASCII, representing characters as integer code points that include and extend ASCII codes
A character set that extends ASCII by assigning integer code points to a much larger range of characters — what is this? | UNICODE
How does UNICODE relate to ASCII? | UNICODE is a superset of ASCII — every ASCII code point maps to the same character in UNICODE, but UNICODE supports far more characters
What is the XOR logical operator? | A logical operator that returns TRUE (1) only if exactly one of the inputs is TRUE (1)
A logical operator that returns TRUE only when exactly one input is TRUE — which operator is this? | XOR
How does XOR differ from OR? | OR returns TRUE if one or more inputs are TRUE. XOR returns TRUE only if exactly one input is TRUE — XOR is FALSE when both inputs are TRUE
What is an array? | A data structure that stores a finite, ordered set of data of the same data type under a single identifier
A data structure storing a finite, ordered set of elements all of the same data type under one identifier — what is this? | Array
What is a binary search tree? | A tree where each node has at most 2 children, with right-child nodes (and their descendants) always having a greater value than the root node
A tree in which each node has at most two children, with right subtree values always greater than the root — what is this? | Binary search tree (BST)
What is breadth-first traversal? | A graph traversal method that visits all neighbours of the starting node first, then visits the neighbours of each of those nodes in the order they were visited
A graph traversal that visits all neighbours of a node before moving to the next level — what method is this? | Breadth-first traversal
What is depth-first traversal? | A graph traversal method that travels as far as possible along one route before backtracking and exploring alternative unexplored routes
A graph traversal that follows one path as deep as possible before backtracking — what method is this? | Depth-first traversal
How does breadth-first traversal differ from depth-first traversal? | Breadth-first explores all neighbours at the current level before going deeper. Depth-first follows one path as far as possible before backtracking to explore other branches
What is a directed graph? | A graph where the edges have a specific direction — the order of the paired vertices matters, making edges one-way
What is a graph (data structure)? | A data structure consisting of a set of vertices (nodes) connected by a set of edges (arcs)
A data structure made of vertices connected by edges — what is this? | Graph
What is a hash table? | A data structure where a hashing algorithm calculates a value that determines where a data item is stored, allowing direct access by recalculation without searching
A data structure that uses a hashing algorithm to determine storage location, enabling direct access without searching — what is this? | Hash table
Why does a hash table provide fast data access? | The hashing algorithm computes the storage location directly from the data item, so retrieval requires recalculation rather than searching through the structure
What is a linked list? | A data structure storing an ordered sequence where each item contains a pointer to the next item, and items are not stored contiguously in memory
A data structure where each element contains data and a pointer to the next element, stored non-contiguously in memory — what is this? | Linked list
How does a linked list differ from an array? | An array stores elements contiguously in memory with direct index access and a fixed size. A linked list stores elements non-contiguously with pointers connecting them, allowing dynamic resizing but requiring traversal for access
What is a list (data structure)? | A data structure that stores a sequence of data values, each accessible by a unique index
What is a queue? | A first-in-first-out (FIFO) data structure where the first item added is the first to be removed
A FIFO data structure where the earliest item added is the first removed — what is this? | Queue
What is a record? | A data structure that stores data in elements called fields, organised based on attributes
A data structure with data stored in named fields organised by attributes — what is this? | Record
What is a stack? | A last-in-first-out (LIFO) data structure where the last item added is the first to be removed
A LIFO data structure where the most recently added item is removed first — what is this? | Stack
How does a stack differ from a queue? | A stack is LIFO (last in, first out) — the most recent item is removed first. A queue is FIFO (first in, first out) — the oldest item is removed first
What is a tree (data structure)? | A data structure of linked nodes forming a hierarchical structure starting at a root node, where each node is a child of a parent node
A hierarchical data structure of linked nodes with a root at the top and parent-child relationships — what is this? | Tree
What is a tuple? | A data structure that stores an immutable, ordered set of data which can contain different data types, under a single identifier
An ordered, immutable data structure that can hold elements of different data types — what is this? | Tuple
How does a tuple differ from an array? | A tuple is immutable (cannot be changed after creation) and can store mixed data types. An array is mutable and stores elements of the same data type
What is an undirected graph? | A graph where the order of vertices in an edge does not matter — edges are bidirectional
