What are ethics in the context of computing? | Values held by a community and how they impact different groups of people in society
Values held by a community that impact different groups in society — what term describes this? | Ethics
What are morals in the context of computing? | A personal code of conduct encompassing how we choose to behave, including decisions made at the expense of others
A personal code of conduct governing how an individual chooses to behave — what term describes this? | Morals
How do ethics differ from morals? | Ethics concern community values and their societal impact, while morals are about an individual's personal code of conduct and personal choices
Why is it important to consider moral, ethical, environmental, social, and cultural implications of computing? | Computers are integral to almost every aspect of daily life, so identifying these issues is the first step to resolving them
Name two advantages of computers in the workforce | They improve efficiency (e.g. reducing delivery times and manufacturing costs) and reduce strain on workers by removing repetitive and tedious tasks
Give an example of how Amazon uses robots in the workforce | Amazon uses robots in warehouses to package and transfer goods between stations, reducing delivery times and unit labour costs
What is Effidence's PostBot? | A robot that navigates through neighbourhoods to deliver letters and parcels door-to-door
What type of unemployment does computerisation of the workforce primarily cause? | Structural unemployment — workers lose jobs because their skills no longer match available roles
Why might the unemployment caused by computerisation not be permanent? | Higher consumer demand due to cheaper services may create employment in other sections of the business
What can governments do to reduce the impact of computerisation on workers? | Invest in retraining programmes so displaced workers can change occupation
Which type of jobs has computerisation hit the hardest? | Middle-income manufacturing jobs, where entire production lines have been replaced by robots
What shift in job types has resulted from the computerisation of manufacturing? | A shift from middle-income manufacturing jobs toward low-income service jobs
Give two examples of non-manufacturing jobs that have been replaced by computers | Library assistants and taxi drivers
What is a major downside of a highly computerised workplace? | High dependence on computers — if something goes wrong, there is a major loss of output
How has computerisation affected demand for computing-related jobs? | Demand has increased — software developers are needed for embedded systems and network engineers to maintain networks
What new skill expectation do employers now have due to computerisation? | Workers are expected to be able to confidently and productively use computers
Give two examples of services now offered exclusively online | Online shopping and online banking
How have exclusively online services reduced business costs? | Reduced costs of renting physical space and cut labour costs as fewer front-facing retail staff and bank clerks are needed
What new jobs have grown as a result of online services? | Delivery drivers and web developers
What is automated decision making? | The process of using algorithms and computer systems to make decisions without direct human intervention, based on data analysis, pattern recognition, and predefined rules
The process of using algorithms to make decisions without direct human intervention — what is this called? | Automated decision making
How is automated decision making used in social media? | Algorithms determine what content users see on their feeds, based on their interactions and inferred interests from their connections
What is the danger of tailoring social media feeds solely to users' existing interests? | It creates a filter bubble where users' beliefs are never challenged, leading to a close-minded society
A situation where social media algorithms only reinforce a user's existing beliefs, preventing exposure to alternative viewpoints — what is this called? | A filter bubble (or echo chamber)
Give two examples of application processes where algorithmic decision-making has been used | Determining suitability for mortgages/loans and screening job applicants
