What is application software? | Software designed to perform a specific task or tasks for an end-user
Software designed to perform a specific task for the end-user — what type of software is this? | Application software
What is systems software? | Low-level software responsible for running the computer system smoothly, interacting with hardware, and providing a platform for applications software to run
Low-level software that runs the computer system smoothly and provides a platform for application software — what is this called? | Systems software
How does application software differ from systems software? | Application software performs tasks for the end-user (e.g. word processing). Systems software manages the computer itself (e.g. OS, drivers) and provides a platform for applications to run. Users interact directly with applications but not with systems software.
What does a word processor do? | Creates, edits, formats, and prints text documents (e.g. Microsoft Word, Google Docs)
What does database management software do? | Stores, retrieves, manipulates, and manages data (e.g. MySQL, Oracle)
What does a web browser do? | Allows users to browse the web and access information online (e.g. Chrome, Firefox)
What does graphics manipulation software do? | Edits and manipulates images, photos, and graphic designs (e.g. Adobe Photoshop, GIMP)
What does spreadsheet software do? | Organises, calculates, and analyses numerical data (e.g. Microsoft Excel, Google Sheets)
What does an Integrated Development Environment (IDE) do? | Provides tools for developing, testing, and debugging software code (e.g. Visual Studio, IntelliJ IDEA)
What does virtualisation software do? | Creates and runs virtual machines on a single physical machine (e.g. VMware, VirtualBox)
Does application software require systems software to run? | Yes, application software relies on systems software (such as the operating system) in order to run
Give four examples of systems software | Library programs, utility programs, operating system, device drivers
What is utility software? | Software designed to help analyse, configure, optimise, or maintain a computer system
Software that helps analyse, configure, optimise, or maintain a computer — what type of software is this? | Utility software
How does utility software differ from application software? | Utility software supports the operating system and maintains the computer. Application software performs tasks that directly benefit end-users. Users do not typically interact with utilities directly.
What does disk defragmentation do? | Rearranges files on a hard drive into contiguous blocks and minimises empty spaces, speeding up file access and improving system performance
Why do modern SSDs generally not require defragmentation? | SSDs have no moving read/write head, so accessing scattered data is equally fast regardless of physical location. Defragmentation can also reduce an SSD's lifespan through unnecessary write operations.
What does a file management utility do? | Organises, searches, renames, creates, deletes, moves, and relocates files and folders (e.g. Windows Explorer, macOS Finder)
What is a device driver? | Software that provides an interface between hardware and the operating system, allowing the OS and programs to communicate with hardware without knowing its precise details
A piece of software that allows the OS to communicate with hardware without knowing its precise details — what is this? | A device driver
What does a system cleanup utility do? | Frees up space by removing temporary files, system cache, unused applications, and other unnecessary data that can slow down the system (e.g. CCleaner, Disk Cleanup)
What does security utility software do? | Monitors the system and controls computer activities to protect it from threats like viruses, malware, and spyware (e.g. Norton, McAfee, Windows Defender)
What does the compression utility do? | Enables files to be compressed and decompressed, commonly used for reducing file sizes before transmission across the Internet
What does the automatic updating utility do? | Ensures the operating system is kept up to date by automatically installing updates that tackle bugs or security flaws, reducing vulnerability to malware and hacking
What does the backup utility do? | Automatically creates routine copies of specific files selected by the user at intervals they specify, allowing file recovery after power failure, malicious attack, or other accidents
What is open source software? | Software where the original source code is freely available and may be viewed, modified, redistributed, and distributed by anyone
Software where the source code is freely available and can be viewed, modified, and redistributed — what is this called? | Open source software
What is closed source software? | Software where the source code is hidden and proprietary. Users require a license to use it and cannot access or modify the source code.
Software where the source code is proprietary, hidden, and requires a license to use — what is this called? | Closed source software
Give two examples of open source software | Linux, Apache HTTP Server
Give two examples of closed source software | Microsoft Windows, Adobe Photoshop
Name two benefits of open source software for the user | Often free to use, and can be customised/modified to meet specific needs
Name two drawbacks of open source software for the user | May be less user-friendly, and may have compatibility issues or contain bugs. Support available online may be insufficient or incorrect with no user manuals.
Name two benefits of closed source software for the user | More polished and consistent products, with professional expert support and user manuals
Name two drawbacks of closed source software for the user | Can be costly, less customisable, and the license restricts how many people can use the software at once
Name two benefits of open source software for the creator | Community collaboration and engagement lead to faster innovation. Software can be modified and sold on.
Name two drawbacks of open source software for the creator | Less control over the software, and can be burdened with requests from users
Name two benefits of closed source software for the creator | Greater control over the software, revenue through sales, and intellectual property protection
Name two drawbacks of closed source software for the creator | Slower innovation due to smaller team, and full responsibility for updates and fixing flaws
How does open source software security compare to closed source? | Open source may have lower security as it may not be developed in a controlled environment. Closed source typically has higher security as it is developed professionally. However, open source benefits from community review of the code.
What two factors should a user consider when choosing between open and closed source software? | Costs (implementation, maintenance, training, license) and functionality (features available, ease of use)
What is a translator (in programming)? | A program that converts high-level source code into low-level object code, which is then ready to be executed by a computer
A program that converts high-level source code into low-level object code — what is this? | A translator
What are the three types of translator? | Interpreter, compiler, and assembler
What does an interpreter do? | Translates and executes source code line-by-line at runtime
What does a compiler do? | Translates the entire source code into machine code all at once before execution
What does an assembler do? | Translates assembly language into machine code
How does a compiler differ from an interpreter? | A compiler translates the entire program into machine code at once before execution, producing a standalone executable. An interpreter translates and executes code line-by-line at runtime, requiring the interpreter to be present each time.
Why are interpreters useful during development and debugging? | They execute code line-by-line and stop at the first error, making it easy to pinpoint bugs without compiling the entire program. They also allow incremental testing.
Why is compiled code generally faster to execute than interpreted code? | Compiled code is already translated to machine code, so it runs directly on the processor. Interpreted code must be translated line-by-line each time it is executed, adding overhead.
Does compiled code need the compiler present to run? | No, once compiled, the executable can run without the compiler being present
Does interpreted code need the interpreter present to run? | Yes, the interpreter must be present each time the code is executed
