What is an integer data type? | A whole number (positive, negative, or zero) with no fractional part
A whole number with no fractional part -- what data type is this? | Integer
What is a real (floating point) data type? | A number that can have a fractional part, either positive or negative
A number that can have a fractional part -- what data type is this? | Real (floating point)
What is the relationship between integers and real numbers? | All integers are also real numbers (integers are a subset of reals)
What is a character data type? | A single symbol used by a computer, such as a letter, digit, or special symbol
A single symbol such as a letter, digit, or symbol -- what data type is this? | Character
What is a string data type? | A sequence of characters
A sequence of characters -- what data type is this? | String
Why might a phone number starting with 0 be stored as a string rather than an integer? | An integer would discard the leading zero, changing the stored value
What is a Boolean data type? | A data type restricted to the values True and False, used for data that can take only two states
A data type restricted to True and False -- what data type is this? | Boolean
After whom is the Boolean data type named? | The mathematician George Boole (hence the capital B)
What is casting in programming? | Converting a value from one data type to another (e.g. string "12" to integer 12)
Why is casting often needed when a user enters data into a program? | User input is typically received as a string, so it must be cast to a numerical type before arithmetic or comparisons can be performed
What number base does binary use? | Base 2 (using only the digits 0 and 1)
Why do computers store data in binary? | Computers are made of circuits and switches that have two states: on (1) and off (0)
What is a bit? | A single binary digit (0 or 1), the smallest unit of digital information
How many bits make up a byte? | 8 bits
What is a nybble (nibble)? | 4 bits (half a byte)
What is the least significant bit (LSB) of a binary number? | The bit furthest to the right, representing the smallest place value
What is the most significant bit (MSB) of a binary number? | The bit furthest to the left, representing the largest place value
How do you convert a binary number to denary? | Multiply each bit by its place value (powers of 2 from right to left: 1, 2, 4, 8, ...) and sum the results
Describe the method for converting a denary number to binary | Find the largest power of 2 less than or equal to the remaining value, place a 1 in that column, subtract it, and repeat for each smaller power of 2
What effect do leading zeros have on a binary number's value? | None. Leading zeros do not change the value (e.g. 101111 and 00101111 both represent 47)
State the four rules of binary addition | 0+0=0, 0+1=1, 1+1=10 (0 carry 1), 1+1+1=11 (1 carry 1)
What is an overflow error in binary addition? | It occurs when the result of an addition exceeds the number of bits available to store it, producing an incorrect result
In signed binary, how can overflow affect the result? | The carry bit can flip the sign bit, incorrectly changing a positive result to negative or vice versa
What is an unsigned binary number? | A binary number that represents only positive values, where all bits contribute to the magnitude
What is a signed binary number? | A binary number that can represent both positive and negative values
Name two methods for representing negative numbers in binary | Sign and magnitude, and two's complement
What is sign magnitude representation? | The MSB indicates the sign (0 = positive, 1 = negative) and the remaining bits represent the magnitude of the number
In sign magnitude, what does an MSB of 1 indicate? | The number is negative
What is a consequence of using sign magnitude representation? | The maximum positive value is halved because one bit is used for the sign instead of contributing to the magnitude
What is two's complement? | A method of representing negative numbers where the MSB has a negative place value and the remaining bits count upwards from it
How do you convert a positive binary number to its negative two's complement form? | Invert (flip) all the bits, then add 1
In an 8-bit two's complement system, what value does the MSB represent? | -128
How do you convert a two's complement binary number to denary? | Treat the MSB as its negative place value and add the positive place values of all remaining 1-bits
How is binary subtraction performed using two's complement? | Convert the number being subtracted to its two's complement form (invert and add 1), then add the two numbers together
How does two's complement differ from sign magnitude? | In sign magnitude, the MSB is a pure sign bit and the remaining bits give the magnitude directly. In two's complement, the MSB has a negative place value and the other bits count upwards, which simplifies arithmetic
What number base does hexadecimal use? | Base 16, using digits 0-9 and letters A-F
In hexadecimal, what denary values do the letters A through F represent? | A=10, B=11, C=12, D=13, E=14, F=15
State two reasons hexadecimal is used instead of binary | It is more concise (one hex digit replaces 4 binary bits) and it is easier for humans to read and write, reducing transcription errors
State two common uses of hexadecimal notation | Representing colours in web design (e.g. #FF5733) and displaying memory addresses or error codes for debugging
How do you convert a hexadecimal number to binary? | Convert each hex digit to its 4-bit binary nibble, then combine the nibbles in order
How do you convert a binary number to hexadecimal? | Split the binary into groups of 4 bits (nibbles) from the right, then convert each nibble to its hex digit
How do you convert a hexadecimal number directly to denary? | Multiply each hex digit by its place value (powers of 16) and sum the results
What does the subscript in a number representation indicate? | The base of the number system (e.g. 10 subscript 2 means binary, 10 subscript 16 means hexadecimal)
What are the two components of a floating point binary number? | Mantissa and exponent
