What is the Data Protection Act (DPA)? | A law that protects personal data from being misused
A law that protects personal data from being misused — what is it called? | The Data Protection Act (DPA)
What is personal data? | Any data that can be used to identify a living person, or data that can be used in combination with other data to identify a living person
Give four examples of personal data | Name, address, date of birth, race, religion
What is a data subject? | An individual who can be identified by personal data
An individual who can be identified by personal data is called a [...] | data subject
Does the Data Protection Act only apply to data stored on computers? | No, it also applies to information stored in organised paper filing systems
Name three exemptions to the Data Protection Act | Domestic purposes (e.g. personal photos or letters), law enforcement (e.g. police investigating crime), intelligence services processing (e.g. MI5)
Why is law enforcement exempt from the DPA? | So that suspects cannot request to see the evidence held against them during a criminal investigation
State DPA Principle 1 | Personal data must be processed fairly and lawfully
What does DPA Principle 1 (fairly and lawfully processed) mean for a company? | The company must be clear about what personal data they collect and what they intend to use it for, having a lawful reason for holding the data
State DPA Principle 2 | Personal data must be obtained only for specified and lawful purposes
What does DPA Principle 2 (specified and lawful purposes) mean for a company? | The company cannot use personal data for any purpose other than what was originally stated, and cannot pass data on without permission
Give an example of a breach of DPA Principle 2 | A company collects a phone number for delivery updates but then uses it to market new products without consent
State DPA Principle 3 | Personal data must be adequate, relevant and not excessive
What does DPA Principle 3 (adequate, relevant, not excessive) mean for a company? | The company cannot request personal data that they do not need for the stated purpose
Give an example of a breach of DPA Principle 3 | A bank asking customers about their previous holidays when opening a bank account
State DPA Principle 4 | Personal data must be kept accurate and up to date
What does DPA Principle 4 (accurate and up to date) mean for a data subject? | If a company holds incorrect or outdated personal data, the data subject has the right to have it corrected or deleted
State DPA Principle 5 | Personal data will not be kept for longer than is necessary
What does DPA Principle 5 (not kept longer than necessary) mean for a company? | The company must delete personal data once they no longer have a need for it
State DPA Principle 6 | Personal data must be processed in line with the rights of data subjects
What does DPA Principle 6 (processed in line with people's rights) mean for a company? | If requested, the company must provide a data subject with all the personal data they hold on them
State DPA Principle 7 | Personal data must be held securely
What does DPA Principle 7 (held securely) mean for a company? | The company must ensure personal data is secured (e.g. usernames and passwords) and backed up to prevent accidental loss
State DPA Principle 8 | Personal data must not be transferred to countries outside the European Economic Area unless those countries have similar data protection laws
What does DPA Principle 8 (transfer restrictions) mean for a company? | The company cannot send personal data outside the EEA unless the destination country has been deemed by the European Commission to provide adequate data protection
What is a Data Controller? | A member of staff appointed by a company who is responsible for ensuring the Data Protection principles are not breached and for communicating with the Information Commissioner
A company must appoint a [...] to ensure the DPA principles are followed | Data Controller
What is a Subject Access Request (SAR)? | A request from a data subject to a company for a copy of all personal data held about them
A request from a data subject to receive a copy of all data held about them is called a [...] | Subject Access Request (SAR)
What must a company do when it receives a Subject Access Request? | Send a copy of the subject's data securely after verifying the identity of the subject
Name four rights of a data subject under the DPA | Right to be informed about data collection, right to access their personal data, right to have inaccurate data corrected, right to be forgotten in certain circumstances
What is the right to data portability? | The right of a data subject to obtain and reuse their personal data for their own purposes across different services
What replaced the Data Protection Act 1998? | The General Data Protection Regulation (GDPR) and the Data Protection Act 2018, as of 2018
Name four actions a company should take to prevent a data breach | Implement multi-factor authentication, use role-based access controls, maintain effective security monitoring, carry out regular penetration testing
What was British Airways fined for their GDPR breach? | £20 million, after data security failings enabled unauthorised access to personal and payment data of over 400,000 customers
What is the Computer Misuse Act (CMA)? | A law concerning the malicious use of computers, originally created to ensure computer hacking was covered by law
A law that was originally created to ensure computer hacking was covered by law — what is it called? | The Computer Misuse Act 1990 (CMA)
How many primary offences does the Computer Misuse Act define? | Three
What is Offence 1 under the Computer Misuse Act? | Unauthorised access to computer materials (e.g. finding a teacher's password and opening their files)
What is Offence 2 under the Computer Misuse Act? | Unauthorised access with intent to commit further offences (e.g. accessing a teacher's computer with the intent to change your test marks)
What is Offence 3 under the Computer Misuse Act? | Unauthorised modification of computer files (e.g. accessing a teacher's computer and actually changing your test marks)
