What is diffraction? | The spreading out of waves after they pass through a narrow gap or around an obstruction
The spreading out of waves after passing through a narrow gap or around an obstruction is called what? | Diffraction
When are diffraction effects most noticeable? | When the wavelength of the wave and the width of the gap are similar in size
Explain why light diffraction requires very narrow slits | The wavelength of visible light is very small (order of 10⁻⁷ m), so the slit width must be similarly small for significant diffraction to occur
What produces the bright fringes in a single slit diffraction pattern? | Constructive interference of each part of the wavefront as it passes through the slit
What produces the dark fringes in a single slit diffraction pattern? | Destructive interference of each part of the wavefront as it passes through the slit
In a single slit diffraction pattern, the bright fringes are areas of [...] intensity | maximum
In a single slit diffraction pattern, the dark fringes are areas of [...] intensity | zero or minimum
What is the central maximum in a single slit diffraction pattern? | The central bright fringe, which has the greatest intensity of any fringe
Describe the central maximum of a single slit pattern compared to the other bright fringes | It is much wider and brighter than the other bright fringes
How does the central maximum of a single slit pattern compare to that of a double slit pattern? | The single slit central maximum is much wider than that of the double slit diffraction pattern
What happens to the intensity of the bright fringes as you move away from the central maximum in a single slit pattern? | The intensity of each successive bright fringe gets less (they get dimmer)
What happens to the width of the maxima as the order increases in a single slit pattern? | The maxima become narrower and less bright
In a single slit intensity pattern, what is the intensity at the dark fringes? | Zero
Why is the central maximum of a white light single slit pattern bright white? | Because constructive interference from all colours (wavelengths) happens at this point
In a white light single slit pattern, what are the non-central maxima composed of? | A spectrum of colours
In a white light single slit diffraction pattern, which colour appears nearest to the central maximum? | Violet/blue, because it has the shortest wavelength and is diffracted less
In a white light single slit diffraction pattern, which colour appears furthest from the central maximum? | Red, because it has the longest wavelength and is diffracted more
Explain why blue light appears closest to the central maximum in white light single slit diffraction | Blue has the shortest wavelength of visible light, so it is diffracted through a smaller angle, placing its maxima closer to the centre
Explain why red light appears furthest from the central maximum in white light single slit diffraction | Red has the longest wavelength of visible light, so it is diffracted through a larger angle, placing its maxima further from the centre
Why do the colours in a white light single slit pattern look blurry further from the centre? | The fringe spacing gets so small that the spectra eventually merge without any space between them
How does the amount of red and blue wavelengths change with increasing order in white light single slit diffraction? | The amount of red wavelengths increases and the amount of blue wavelengths decreases
How does the intensity of the central maximum for white light compare to monochromatic light in single slit diffraction? | They are equal in intensity
How do the non-central maxima of white light single slit diffraction compare to those of monochromatic light? | They are wider and less intense
What happens to the fringe spacing between maxima in a white light single slit pattern as order increases? | The fringe spacing gets smaller
How does the double slit interference pattern differ from the single slit pattern in terms of intensity? | The double slit pattern has equally spaced intensity peaks with maxima of equal intensity, while the single slit has a dominant central maximum with subsequent maxima at lower intensity
What is the single slit 'envelope' in a double slit experiment? | The combined intensity pattern where equally spaced double slit bright fringes are modulated within the intensity profile of a single slit diffraction pattern
How does increasing the gap size (relative to wavelength) affect diffraction? | The waves spread out less after passing through the gap
Explain the effect on the diffraction pattern when the wavelength of light is increased | The wave diffracts more, increasing the angle of diffraction, so the width of the bright maxima increases
Red light has the [...] wavelength of visible light and produces a diffraction pattern with [...] fringes | longest; wide
Blue light has the [...] wavelength of visible light and produces a diffraction pattern with [...] fringes | shortest (much shorter); narrow
How does red light compare to blue light in terms of diffraction through the same single slit? | Red light diffracts more than blue light because it has a longer wavelength, producing wider fringes
What three things happen to the intensity pattern when the single slit is made narrower? | The intensity of the maxima decreases, the width of the central maximum increases, and the spacing between fringes is wider
Explain why making a single slit narrower causes the central maximum to become wider | A narrower slit means the gap is closer in size to the wavelength, increasing the angle of diffraction, so waves spread out more
When the slit is made narrower, the angle of diffraction is [...] | greater
When diffraction occurs, what property of the wave changes and what stays the same? | The amplitude changes (decreases), but the wavelength remains constant
Why do X-rays diffract when passing through a crystalline solid? | The wavelength of X-rays (10⁻⁸ to 4 × 10⁻¹³ m) is roughly the same as the gap between atoms in a crystalline solid
What is a diffraction grating? | A piece of optical equipment consisting of a large number of very thin, equally spaced parallel slits carved into a glass plate
A piece of optical equipment with many thin, equally spaced parallel slits carved into a glass plate is called what? | A diffraction grating
What does a diffraction grating do to monochromatic light? | Diffracts it into bright and dark fringes
