What does RISC stand for? | Reduced Instruction Set Computer
A processor with a smaller instruction set containing simpler instructions — what type of processor is this? | RISC (Reduced Instruction Set Computer)
What does CISC stand for? | Complex Instruction Set Computer
A processor with a larger instruction set containing more complex instructions — what type of processor is this? | CISC (Complex Instruction Set Computer)
What is an instruction set? | The set of instructions a processor can use to execute programs
How many clock cycles does each RISC instruction take to execute? | One clock cycle
Why can CISC instructions take more than one clock cycle to execute? | Because CISC instructions are more complex and may carry out multiple low-level operations within a single instruction
Why is RISC more suited to pipelining than CISC? | Each RISC instruction takes exactly one clock cycle, so stages of different instructions can overlap predictably in the pipeline without stalling
What is the aim of the CISC design approach? | To accomplish tasks in as few lines of assembly code as possible by using complex, multi-operation instructions
Why do RISC compilers generate more instructions than CISC compilers? | RISC instructions are simpler, so the compiler must break down high-level operations into a larger number of simple machine code instructions
Why do CISC compilers have less work to do when translating high-level code? | Because CISC has complex instructions that map more directly to high-level operations, requiring fewer lines of assembly code
How does RISC compare to CISC in terms of memory usage for programs? | RISC programs take up more space in memory because more instructions are needed; CISC programs take up less space because fewer, more complex instructions are used
How does RISC compare to CISC in terms of transistor count? | RISC has fewer transistors; CISC has more transistors
How does RISC compare to CISC in terms of general purpose registers? | RISC has fewer general purpose registers; CISC has more general purpose registers
How does RISC compare to CISC in terms of addressing modes? | RISC has fewer addressing modes; CISC has more addressing modes
How does RISC compare to CISC in terms of power consumption? | RISC requires less power; CISC requires more power
How does RISC compare to CISC in terms of manufacturing cost? | RISC costs less to manufacture; CISC costs more to manufacture
What type of devices typically use RISC processors? | Smartphones and tablets
What type of devices typically use CISC processors? | Laptops and desktop computers
Can a program written for a RISC processor run on a CISC processor? | No, a RISC program will not work on a CISC processor and vice versa
Can a program written for one RISC processor always run on another RISC processor? | No, different RISC processors may have different instruction sets, so the program may not be compatible
In the RISC example of multiplying X and Y, why are four instructions needed (LDA, LDA, MULT, STO) compared to one CISC instruction (MULT A, B)? | RISC uses simple single-operation instructions, so each step (load, load, multiply, store) must be a separate instruction. CISC combines the memory access and arithmetic into one complex instruction
What is a GPU? | A Graphics Processing Unit — a processor designed specifically for processing graphics, with many smaller cores that work in parallel
A co-processor with many independent cores designed to process graphics and perform parallel computations — what is this? | A GPU (Graphics Processing Unit)
What is the primary purpose of a GPU in a computer? | To process graphics, reducing the load on the CPU
How do CPUs and GPUs differ in terms of design purpose? | CPUs are general purpose processors; GPUs are designed specifically for graphics and parallel processing
What does SIMD stand for? | Single Instruction Multiple Data
A processing approach where the same operation is performed on multiple data points simultaneously — what is this called? | SIMD (Single Instruction Multiple Data) processing
Why can GPUs perform graphics transformations faster than CPUs? | GPUs can apply the same instruction to multiple pieces of data at once (SIMD), which is ideal for operations like transforming polygon vertices or shading pixels
Where can a GPU be located in a computer system? | Either as part of a separate graphics card or embedded within the CPU
Why do modern GPUs contain hundreds or thousands of smaller cores? | To allow them to perform many operations in parallel, which is essential for graphics processing and other parallelisable tasks
