What are ethics concerned with? | Our values as a community and how these will impact different groups of people in society
What are morals concerned with? | Our personal code of conduct, including how we choose to behave and the decisions we make at the expense of others
Our values as a community and how they impact different groups in society — what term describes this? | Ethics
A personal code of conduct encompassing how we choose to behave — what term describes this? | Morals
How do ethics differ from morals? | Ethics relate to shared community values and their impact on groups in society; morals relate to an individual's personal code of conduct and personal decisions
Why is it important to consider the moral, ethical, environmental, social, and cultural implications of computers in daily life? | Computers are now integral to almost every aspect of daily life, so identifying these issues is the first step to resolving any negative impacts on individuals and society
Give two advantages of computers in the workforce | They improve efficiency (e.g. reducing delivery times, speeding up manufacturing) and they reduce strain on workers by removing repetitive and tedious tasks
Explain how computers in the workforce can lead to lower consumer prices | Machines reduce unit labour costs by automating manufacturing and logistics, and these cost savings feed through as lower prices for consumers
What type of unemployment is caused by computerisation replacing jobs? | Structural unemployment
Which sector has been hit hardest by computerisation? | Middle-income manufacturing jobs, where entire production lines have been replaced by robots
Explain why the structural unemployment caused by computerisation may not be long-term | Higher consumer demand due to cheaper services may create employment in other sections of business, and government retraining programmes can help workers change occupation
What shift in the labour market has occurred as a result of computerisation in manufacturing? | A shift from middle-income manufacturing jobs toward low-income service jobs
Why has demand for computing-related occupations increased with computerisation? | Software developers are needed for embedded systems in smart devices, network engineers are needed to maintain networks, and employers generally require workers who can confidently use computers
Give two examples of services that have moved exclusively online | Online shopping and online banking
Explain how online services reduce business costs | They reduce costs of renting physical spaces and cut labour costs since fewer front-facing retail staff and bank clerks are needed
A major downside of a significantly computerised workplace is [...] | High dependence on computers — if something goes wrong, there will be a major loss of output
What is automated decision making? | The process of using algorithms and computer systems to make decisions without direct human intervention, based on data analysis, pattern recognition, and predefined rules
The process of using algorithms to make decisions without direct human intervention — what is this called? | Automated decision making
How is automated decision making used in social media? | Algorithms determine what users are shown on their feeds, based on users' interactions and inferences about their interests from their connections
Explain the danger of social media feeds being tailored entirely to a user's interests | It creates a filter bubble in which users' existing beliefs are solely reinforced and never challenged, leading to a close-minded society
A filter bubble created by algorithmic content curation that reinforces existing beliefs — why is this considered dangerous? | It means people's views are never challenged, potentially leading to polarisation and a close-minded society
Give three areas where algorithmic decision making has been used in application processes | Assessing suitability for mortgages, loans, and jobs
Explain why relying entirely on algorithms for decisions about people could be unfair | Algorithms do not consider extenuating circumstances and cannot process information with the same consideration of contextual factors that humans can provide
How have algorithms improved the hiring process for employers? | They can screen candidates for desired qualities before the interview stage, making hiring faster and more efficient
Explain how automated decision making in driverless cars can save lives | Algorithms can make decisions faster than humans are capable of reacting, allowing quicker responses to dangerous situations
Give two examples of systems where fast automated decision making is useful beyond driverless cars | Plant automation systems and power distribution systems, where inputs are collected and analysed to respond instantly to changes such as adjusting power supply to meet demand
Automated decision making has nearly taken over what area of the financial sector? | Stock market trading, where algorithms analyse past trends to model future changes
Why is it important that algorithms do not remain a 'black box'? | Their decisions must be justified and transparent, and some level of human input is essential to ensure fairness and prevent hidden biases
What ethical dilemma does algorithmic decision making in driverless cars raise? | How the system should decide who is harmed if a scenario arises where either a pedestrian or the driver must be harmed, and who is responsible for the consequences
The ethical dilemma about who should be harmed in an unavoidable accident scenario is often compared to what thought experiment? | The trolley problem
Why must algorithms be provided with factually correct data? | To perform well and avoid producing inaccurate or biased outputs — biased training data leads to biased decisions
Why can algorithms not be assumed to be free of bias even after thorough testing? | They have been designed by a group of software developers who may introduce their own biases into the system
Give an example of a real-world case demonstrating algorithmic bias in recruitment | Amazon abandoned an AI recruitment tool because it was trained on 10 years of male-dominated application data and taught itself to prefer male candidates, penalising CVs containing the word "women"
What is artificial intelligence (AI)? | The ability of a computer to replicate human intelligence, cognitive ability, and grasp abstract concepts
The ability of a computer to replicate human intelligence, cognitive ability, and grasp abstract concepts — what is this? | Artificial intelligence (AI)
What is an expert system? | A system that replicates the knowledge and experience of a human expert in a particular subject, also known as a knowledge-based system
What two components make up an expert system? | A knowledge base (consisting of a set of facts and rules) and an inference engine (which is interrogated to find diagnoses)
A knowledge base consisting of facts and rules, combined with an inference engine — what type of system is this? | An expert system (knowledge-based system)
Give an example of how AI is used in medicine | Expert systems draw connections between illnesses to form diagnoses
