What are the three stages of how a search engine works? | Crawling, indexing, ranking
What is crawling in the context of search engines? | Software programs called crawlers (spiders/bots) follow links from one webpage to another, systematically discovering and visiting pages on the web
Software programs that follow links from one webpage to another to discover web content for search engines are called what? | Web crawlers (also called spiders, bots, or robots)
Where do web crawlers start their process? | From a set of seed URLs, then they visit other pages linked from those URLs
What is the purpose of the robots.txt file? | It establishes rules and guidelines for web crawlers, directing them on which areas of a website to explore or avoid
What does a crawler do when it reaches a webpage? | It fetches the HTML content, examines the structure, and retrieves information such as text content, headings, links, and metadata
What is search engine indexing? | Storing the collected information from web pages in a structured manner within a search engine's database for quick retrieval and ranking
The process of storing extracted web page data in a structured, searchable database is called what? | Search engine indexing
What information is stored in a search engine index entry for a word? | Each word is included as an entry along with the word's position on the page
Why does search engine indexing improve search efficiency? | Search engines do not need to scan the entire web for every query. They can search their indexed data to produce results quickly
Why do search engine crawlers periodically revisit indexed pages? | To detect updates and changes, ensuring search results display the latest content available on the Internet
What is the PageRank algorithm? | An algorithm that evaluates and ranks web pages based on their perceived relevance and importance, using the structure of links between pages
The algorithm that ranks web pages based on link structure, quantity and quality of inbound links is called what? | The PageRank algorithm
Who originally developed the PageRank algorithm? | Larry Page and Sergey Brin, the founders of Google
What are the four key elements of the PageRank algorithm? | Link analysis, link weight distribution, iterative calculation, damping factor
How does link analysis work in PageRank? | Each link to a page acts as a "vote" for that page, with the voting weight determined by the importance of the linking page
Explain how PageRank distributes link weight | A page shares a portion of its importance with each page it links to via its outgoing links, so higher-quality pages contribute more influence to the pages they link to
How does the iterative calculation in PageRank work? | Every page starts with an equal value. In each iteration, the significance of each page is re-evaluated using the weighted impact of inbound links, continuing until rankings become stable
What is the damping factor in PageRank? | A value between 0 and 1 (usually 0.85) representing the probability that a user will not follow a link and will instead jump to a random new page
The damping factor is typically set to what value? | 0.85
Why is the damping factor needed in PageRank? | It prevents the algorithm from getting stuck in infinite loops and makes the model more realistic by accounting for users who navigate randomly rather than always following links
What is the PageRank formula? | PageRank(x) = (1-d) + d[(PageRank(T1) / Count(T1)) + ... + (PageRank(Tn) / Count(Tn))]
In the PageRank formula, what does Count(Tn) represent? | The total count of outbound links from webpage n
What initial value is assigned to all pages at the start of the PageRank iterative process? | Every page is given an equal initial value (typically 1)
Name five factors that modern search engines consider beyond link analysis when ranking pages | Relevance (keyword/content quality), user engagement (click-through rates, dwell time, bounce rates), authority and trust, content freshness, mobile-friendliness
