What is superposition? | The combination of two or more waves overlapping at the same point, where their amplitudes combine
When two or more waves overlap at a point, the displacement at that point equals what? | The sum of the displacements of the individual waves (principle of superposition)
State the principle of superposition | When two or more waves overlap at a point, the displacement at that point is equal to the sum of the displacements of the individual waves
What is interference? | The effect of the superposition of two or more waves
What is constructive interference? | When two waves meet in phase, their combined effect makes the resultant wave amplitude larger
What is destructive interference? | When two waves meet in antiphase, their combined effect means they cancel each other out
Two waves arriving in phase produce what type of interference? | Constructive interference
Two waves arriving in antiphase produce what type of interference? | Destructive interference
In constructive interference between two identical waves, what is the resultant amplitude? | Double the amplitude of each individual wave (2A)
In complete destructive interference between two identical waves, what is the resultant amplitude? | Zero
Waves superimposing to produce a larger resultant amplitude describes what? | Constructive interference
Waves superimposing to produce zero resultant amplitude describes what? | Destructive interference
When two waves are neither fully in phase nor in antiphase, what happens to the resultant amplitude? | It is somewhere between the maximum (constructive) and zero (destructive)
How are individual wave displacements combined during superposition? | They are combined in the same way as other vector quantities (positive and negative displacements are added algebraically)
What is coherence? | When waves have the same frequency and a constant phase difference
What two conditions must waves satisfy to be coherent? | 1) Same frequency, 2) Constant phase difference
Why must waves be coherent to produce a stable interference pattern? | Without the same frequency and a constant phase difference, the interference pattern would constantly shift and not be observable
Give two examples of coherent light sources | Monochromatic laser light, and sound waves from two nearby speakers emitting the same frequency
What makes non-coherent waves unable to produce stable interference? | An abrupt or random change in phase creates an inconsistent phase difference
What is path difference? | The difference in distance travelled by two waves from their sources to the point where they meet
How does path difference differ from phase difference? | Path difference compares the amount of progress made by waves along a path; phase difference compares the distance between the phases (peaks and troughs) of coherent waves at a point
The difference in distance travelled by two waves from their sources to the point where they meet is called what? | Path difference
What determines whether constructive or destructive interference occurs where two coherent waves meet? | The path difference between the two waves
What is the condition for constructive interference in terms of path difference? | Path difference = nλ (where n = 0, 1, 2, 3...)
What is the condition for destructive interference in terms of path difference? | Path difference = (n + ½)λ (where n = 0, 1, 2, 3...)
A path difference of nλ produces what type of interference? | Constructive interference
A path difference of (n + ½)λ produces what type of interference? | Destructive interference
A path difference of λ/2 results in what? | Destructive interference (first order, n = 0)
A path difference of 2λ results in what? | Constructive interference (n = 2)
In path difference equations, what values can n take? | n = 0, 1, 2, 3... (any non-negative integer)
What is a wavefront diagram? | A diagram where curved lines represent each wavefront (peak or trough), used to show interference between waves
On a wavefront diagram, what happens where a peak meets a peak? | Constructive interference occurs
On a wavefront diagram, what happens where a trough meets a trough? | Constructive interference occurs
On a wavefront diagram, what happens where a peak meets a trough? | Destructive interference occurs
How can you determine the type of interference at a point on a wavefront diagram? | Count the number of wavelengths from each source to that point and calculate the path difference
Why are lasers ideal for analysing diffraction and interference patterns? | They produce light that is coherent (constant phase difference and frequency) and monochromatic (same wavelength)
What does coherent mean in the context of laser light? | The light has a constant phase difference and the same frequency
What does monochromatic mean? | Having a single wavelength (or frequency)
In a laser diffraction pattern, bright fringes correspond to what? | Areas of constructive interference
In a laser diffraction pattern, dark fringes correspond to what? | Areas of destructive interference
Other light sources such as filament bulbs and sodium lamps are described as what, compared to a laser? | Non-coherent
Why do filament bulbs produce white light rather than interference fringes? | They are non-coherent sources (they do not have a constant phase difference or a single frequency)
Name three laser safety precautions | Never look directly at a laser or its reflection; wear laser safety goggles; place a 'laser on' warning light outside the room
Why are lasers dangerous? | They produce a very high-energy beam of light that can cause permanent eye damage or blindness
