What are programming paradigms? | Different approaches to using a programming language to solve a problem
Established conventions and practices that dictate how programs are structured and developed — what term describes this? | Programming paradigms
What are the two broad categories of programming paradigms? | Imperative and declarative
What characterises imperative programming? | Code that clearly specifies the actions to be performed, step by step
A paradigm where code clearly specifies the actions to be performed — what category is this? | Imperative programming
What two paradigms fall under the imperative category? | Procedural and object-oriented
What two paradigms fall under the declarative category? | Functional and logic
What characterises declarative programming? | It focuses on stating the desired result rather than specifying the exact steps to achieve it
A paradigm that focuses on stating the desired result rather than the exact steps — what category is this? | Declarative programming
In declarative programming, who determines how best to obtain the result? | The programming language itself (the details are abstracted from the user)
Where is declarative programming commonly used? | Expert systems and artificial intelligence
What is procedural programming? | A type of imperative programming that uses a sequence of instructions, which may be contained within procedures, carried out step by step
Why is procedural programming one of the most widely used paradigms? | It can be applied to a wide range of problems and is relatively easy to write and interpret
Name three example procedural programming languages | Pascal, Python, Logo (or C, Go, Rust)
What is object-oriented programming (OOP)? | A paradigm built on entities called objects formed from classes, which have attributes and methods, focusing on reusability and maintainability
A paradigm that organises code around objects which combine data and functionality rather than functions — what paradigm is this? | Object-oriented programming (OOP)
Name three example object-oriented programming languages | Python, Delphi, Java (or C#, Swift)
What is functional programming? | A paradigm that uses the concept of reusing a set of functions which form the core of the program, closely linked to mathematics
A paradigm where programs are made up of function calls, often combined within each other, and closely linked to mathematics — what paradigm is this? | Functional programming
Name two example functional programming languages | Haskell, C#, Java
What is logic programming? | A declarative paradigm that defines a set of facts and rules based on the problem, using queries to find answers
A paradigm that defines facts and rules and uses queries to find answers — what paradigm is this? | Logic programming
Name an example logic programming language | Prolog
How does procedural programming differ from object-oriented programming? | Procedural structures code around procedures/functions executed step by step. OOP structures code around objects that combine data (attributes) and behaviour (methods), supporting inheritance and encapsulation
Give one strength of procedural programming | Efficient execution of straightforward tasks with a clear top-to-bottom flow of control
Give one weakness of procedural programming | Can become unwieldy for large programs due to lack of modularity, leading to code redundancy
Give one strength of object-oriented programming | Enhances modularity with encapsulation and enables code reuse through inheritance
Give one weakness of object-oriented programming | Can lead to unnecessary complexity, and inefficiency due to overhead (e.g. memory for objects)
Give one strength of assembly language | Direct control over hardware with optimised performance due to low-level operations
Give one weakness of assembly language | Hardware-specific (lacking portability), with a steep learning curve and difficult to debug/maintain
Why is procedural programming not ideal for all problems? | It is not possible to solve all kinds of problems with procedural languages, and for some problems it may be inefficient to do so
Why might most programming languages such as Python allow for more than one paradigm? | Different paradigms are suited to different tasks, so supporting multiple paradigms gives programmers flexibility to choose the best approach for each problem
What is structured programming? | A popular subsection of procedural programming in which the control flow is given by four main structures: sequence, selection, iteration, and recursion
