What is a database? | An organised collection of data that allows easy storage, retrieval, and management of information
An organised collection of data that allows easy storage, retrieval, and management of information — what is this? | A database
What is an entity in a database? | An item of interest about which information is stored (e.g. students, orders, products)
An item of interest about which data is stored — what database term describes this? | An entity
What is an attribute in a database? | A characteristic of an entity; a category about which data is collected (i.e. a column/field)
A characteristic of an entity about which data is collected — what is this called? | An attribute (or field)
What is a field in a database? | A single piece of data in a record
What is a record in a database? | A group of related fields representing one complete data entry (i.e. one row in a table)
What is a table in a database? | A collection of records with a similar structure
What is a relational database? | A database that organises data into multiple linked tables, with each table representing a different entity
A database that organises data into multiple tables linked by keys — what type of database is this? | A relational database
What is a flat file database? | A database that stores all data in a single table, typically based around a single entity and its attributes
A database that consists of a single table — what is this called? | A flat file database
How is a flat file typically written out in notation? | Entity(Attribute1, Attribute2, Attribute3, ...) with the primary key underlined
How does a flat file differ from a relational database? | A flat file stores all data in one table (simple but causes redundancy and inconsistency). A relational database uses multiple linked tables (reduces redundancy and is easier to maintain)
Explain why a flat file database leads to data redundancy | In a flat file, data about related entities is stored in a single table, so information about one entity (e.g. a tutor's name) must be repeated across every record that references it, wasting storage space
Explain the problem with updating data in a flat file database | If a value changes (e.g. a tutor's name), every record containing that value must be found and updated. Missing any creates inconsistent data
What is a primary key? | A unique identifier for each record in a table, ensuring no two rows have the same value in that field
A unique identifier for each record in a table — what database term is this? | A primary key
How is a primary key shown in database notation? | By underlining it
What is a compound (composite) primary key? | A combination of two or more fields that together uniquely identify each record in a table
A primary key made up of two or more fields — what is this called? | A compound (composite) primary key
What is a foreign key? | An attribute in one table that refers to the primary key in another table, used to link tables and create relationships
An attribute that links two tables by referencing the primary key of another table — what is this called? | A foreign key
How is a foreign key shown in database notation? | Using an asterisk (*)
What is a secondary key? | A field (or fields) that is indexed to allow faster searching on that attribute
A field that is indexed to speed up database searches — what is this called? | A secondary key
Explain why secondary keys are useful in a database | Users rarely remember primary keys (e.g. PatientID). A secondary key indexes a more memorable field like surname, so the DBMS can search and order records on that field quickly without scanning every record
What is indexing in a database? | A method of storing the position of each record ordered by a certain attribute, used to speed up data retrieval
Explain how indexing speeds up data retrieval | Without an index, the DBMS must check every record sequentially. With an index, the DBMS can go directly to the relevant records, like looking up a topic in a book index instead of reading every page
The primary key is automatically [...] in a database | indexed
What is a Database Management System (DBMS)? | Software used to create, manage, and interact with databases (e.g. MySQL, Oracle, PostgreSQL, Microsoft SQL Server)
Software used to manage databases such as MySQL or PostgreSQL — what is this called? | A Database Management System (DBMS)
What are the three types of entity relationships? | One-to-one, one-to-many, and many-to-many
What is a one-to-one relationship? | A relationship where each entity in one table is linked to exactly one entity in another table (e.g. husband and wife)
What is a one-to-many relationship? | A relationship where one entity in a table can be linked to many entities in another table (e.g. a mother and her children)
What is a many-to-many relationship? | A relationship where entities in both tables can be linked to many entities in the other (e.g. students and courses)
How is a one-to-one relationship shown in an ER diagram? | A single straight line connecting the two entities
How is a one-to-many relationship shown in an ER diagram? | A line with a crow's foot (fork/branch) on the "many" side
How is a many-to-many relationship shown in an ER diagram? | A line with crow's feet (fork/branches) on both sides
What is an entity relationship diagram (ERD)? | A diagram that represents the entities (tables) in a database and the relationships between them
Why can many-to-many relationships not be directly implemented in a database? | They cannot be represented using simple foreign keys, so they must be resolved by creating a link table between the two entities
How is a many-to-many relationship resolved in a relational database? | By creating a link table (junction table) that sits between the two entities, converting the many-to-many into two one-to-many relationships
How can you tell from an ER diagram which table will contain a foreign key? | The entity on the "many" side of a relationship will have a foreign key linking to the primary key of the entity on the "one" side
What is normalisation? | The process of organising a relational database to reduce data duplication and improve data accuracy, consistency, and maintainability
The process of organising a database to eliminate redundancy and improve consistency — what is this called? | Normalisation
What does normalisation try to accomplish? | No redundancy (unnecessary duplicates), consistent data across linked tables, records can be added/removed without issues, and complex queries can be carried out
What are the requirements for First Normal Form (1NF)? | All values must be atomic (single, indivisible values in each cell), no repeating groups, unique column names, and a primary key must exist
What does "atomic" mean in the context of 1NF? | Each field must contain only a single, indivisible value — not lists or multiple values
A table has no repeating groups, all values are atomic, columns have unique names, and a primary key exists. What normal form is this in? | First Normal Form (1NF)
What are the requirements for Second Normal Form (2NF)? | The table must be in 1NF and have no partial dependencies — all non-key attributes must be fully dependent on the entire primary key
What is a partial dependency? | When a non-key attribute depends on only part of a composite primary key rather than the whole key
A table is in 1NF and all non-key attributes depend on the whole primary key (no partial dependencies). What normal form is this? | Second Normal Form (2NF)
When does 2NF only apply? | Only to tables that have a compound (composite) primary key. Tables with a single-field primary key that are in 1NF are automatically in 2NF
What are the requirements for Third Normal Form (3NF)? | The table must be in 2NF and have no transitive dependencies — every non-key attribute must depend only on the primary key and nothing else
What is a transitive dependency? | When a non-key attribute depends on another non-key attribute rather than directly on the primary key
A table is in 2NF and no non-key attribute depends on another non-key attribute (no transitive dependencies). What normal form is this? | Third Normal Form (3NF)
How does a partial dependency differ from a transitive dependency? | A partial dependency is when a non-key attribute depends on part of a composite primary key. A transitive dependency is when a non-key attribute depends on another non-key attribute
What is MICR (Magnetic Ink Character Recognition)? | A data capture method where characters printed in special magnetic ink are scanned and recognised by a computer, used on cheques
Characters printed in special magnetic ink that can be read by a computer — what technology is this? | Magnetic Ink Character Recognition (MICR)
What is OMR (Optical Mark Recognition)? | A data capture method that detects marked areas on paper, used for multiple choice tests, surveys, and lottery tickets
A technology that detects marked areas on specially designed forms — what is this? | Optical Mark Recognition (OMR)
What is OCR (Optical Character Recognition)? | A data capture method that converts printed or handwritten text into digital format
A technology that converts printed or handwritten text into digital text — what is this? | Optical Character Recognition (OCR)
How does OCR differ from OMR? | OCR recognises individual characters (letters/numbers) from text. OMR only detects the presence or position of marks in predefined areas on a form
What is data mining? | The process of discovering hidden patterns, correlations, and insights from large datasets using techniques from machine learning, statistics, and AI
The process of discovering hidden patterns and insights from large datasets — what is this called? | Data mining
What is selecting data in the context of data preprocessing? | Choosing only data that fits certain criteria to reduce the volume of input, and removing irrelevant information before storing it
What is Query By Example (QBE)? | A user-friendly visual interface method for constructing database queries, where users enter criteria in a grid representing database fields without writing SQL
A visual grid-based method of querying a database without writing SQL — what is this called? | Query By Example (QBE)
How does QBE differ from SQL for selecting data? | QBE uses a visual grid interface and is easier for non-technical users. SQL uses text-based commands and is more powerful and flexible for complex queries
What is EDI (Electronic Data Interchange)? | A standardised electronic method for transferring documents and data between businesses without human interaction
