What is the AND (∧) logical operator? | A logical operator that returns TRUE (1) only if ALL inputs are TRUE (1)
A logical operator that returns TRUE only when all inputs are TRUE — what operator is this? | AND (∧)
What is the OR (∨) logical operator? | A logical operator that returns TRUE (1) if any one of the inputs is TRUE (1)
A logical operator that returns TRUE when at least one input is TRUE — what operator is this? | OR (∨)
What is the XOR logical operator? | A logical operator that returns TRUE (1) only if exactly one of the inputs is TRUE (1)
A logical operator that returns TRUE only when exactly one input is TRUE — what operator is this? | XOR (exclusive OR)
How does AND differ from OR? | AND requires all inputs to be TRUE to return TRUE; OR requires only one input to be TRUE to return TRUE
How does XOR differ from OR? | XOR returns TRUE only when exactly one input is TRUE; OR returns TRUE when one or more inputs are TRUE (including when both are TRUE)
What is ASCII? | A character set that represents alphanumeric characters or symbols using 8 bits per character
A character set that uses 8 bits to encode alphanumeric characters and symbols — what is this? | ASCII
What is UNICODE? | A character set that is a superset of ASCII, representing characters as integer code points equal to their ASCII codes
A character set that extends ASCII and assigns an integer code point to each character — what is this? | UNICODE
How does UNICODE differ from ASCII? | UNICODE is a superset of ASCII — it includes all ASCII characters but can represent a much larger set of characters from different languages and symbol sets
What is binary? | A base 2 number system that uses only ones and zeros to represent numbers
A base 2 number system using only 1s and 0s — what is this called? | Binary
What is denary? | A base 10 number system that uses 10 characters (0 to 9) to represent numbers
A base 10 number system using digits 0-9 — what is this called? | Denary (decimal)
What is hexadecimal? | A base 16 number system that uses 16 characters (0-9 and A-F) to represent numbers
A base 16 number system using characters 0-9 and A-F — what is this called? | Hexadecimal
What base does binary use? | Base 2
What base does denary use? | Base 10
What base does hexadecimal use? | Base 16
What is an integer data type? | A data type for storing whole number values (positive or negative) with no decimal parts
A data type that stores whole numbers with no fractional component — what is this? | Integer
What is a real/floating point data type? | A data type for storing numbers with decimal or fractional parts
A data type that stores numbers with decimal or fractional parts — what is this? | Real (floating point)
What is a Boolean data type? | A data type that can store only one of two possible values (e.g. TRUE/FALSE or 1/0)
A data type restricted to exactly two possible values such as TRUE or FALSE — what is this? | Boolean
What is a character data type? | A data type for storing a single letter, number, or special character
A data type that holds a single letter, digit, or special character — what is this? | Character
What is a string data type? | A data type for storing a sequence of alphanumeric characters or symbols, typically within quotation marks
A data type that stores a sequence of characters, usually enclosed in quotation marks — what is this? | String
What is a primitive data type? | A basic built-in data type provided by a programming language
A basic data type that is built into the programming language rather than user-defined — what term describes this? | Primitive data type
What is bitwise manipulation? | Operations performed directly on a set of bits
What are shifts in bitwise manipulation? | A bitwise operation where all bits are moved by one place in a given direction; the end bit may be taken as a carry or appended to the other end depending on the shift method
What is floating point arithmetic? | Performing arithmetic operations on floating point (decimal) numbers represented in binary
What is two's complement? | A method of storing negative numbers in binary by flipping all the bits of the positive number's binary representation and then adding 1
A method for representing negative binary numbers that involves inverting all bits and adding 1 — what is this called? | Two's complement
How does a real/floating point data type differ from an integer data type? | A real/floating point stores numbers with decimal or fractional parts; an integer stores only whole numbers with no decimal component
What is an array? | A data structure for storing a finite, ordered set of data of the same data type within a single identifier
A data structure that holds a fixed-size, ordered collection of elements all of the same type under one identifier — what is this? | Array
What is a list? | A data structure that stores a sequence of data values, each with a unique index
A data structure storing an indexed sequence of data values — what is this? | List
What is a tuple? | A data structure for storing an immutable, ordered set of data that can be of different data types, within a single identifier
An ordered, immutable data structure that can hold elements of different types under one identifier — what is this? | Tuple
How does a tuple differ from an array? | A tuple is immutable (cannot be changed after creation) and can hold different data types; an array is mutable and stores elements of the same data type
What is a linked list? | A data structure storing an ordered sequence of data where each item is stored with a pointer to the next item; items are not stored contiguously in memory
A data structure where each element contains data and a pointer to the next element, with items not stored in contiguous memory — what is this? | Linked list
How does a linked list differ from an array? | In a linked list, each item stores a pointer to the next item and items are not contiguous in memory; in an array, items are stored contiguously and accessed by index without pointers
What is a stack? | A last-in-first-out (LIFO) data structure where the last item pushed on is the first to be popped off
A LIFO data structure where the most recently added item is removed first — what is this? | Stack
What is a queue? | A first-in-first-out (FIFO) data structure where the first item pushed on is the first to be popped off
