What are energy levels? | Discrete energy states that electrons in an atom can occupy
The discrete energy states that electrons occupy in an atom are called what? | Energy levels
Why do electrons occupy the lowest possible energy level? | Because this is the most stable configuration for the atom
What is excitation? | When an electron absorbs enough energy to move up to a higher energy level
When an electron absorbs energy and moves to a higher energy level, this process is called what? | Excitation
What must an electron absorb to be excited to a higher energy level? | A photon
When an electron moves to a higher energy level, the atom is said to be in what state? | An excited state
What is de-excitation? | When an electron moves back down to a lower energy level by emitting a photon
When an electron drops to a lower energy level by emitting a photon, this process is called what? | De-excitation
What is ionisation? | When an atom gains or loses an orbital electron and becomes charged
When an atom gains or loses an orbital electron and becomes charged, this is called what? | Ionisation
What happens to an atom when an electron is removed from it? | The atom becomes ionised (positively charged)
What is the ionisation energy of an atom? | The minimum energy required to remove an electron from the ground state of an atom
The minimum energy required to remove an electron from the ground state — what quantity is this? | Ionisation energy
From which energy level is the ionisation energy defined? | The ground state (lowest energy level)
How does excitation differ from ionisation? | In excitation, an electron moves to a higher energy level but remains bound to the atom. In ionisation, an electron is completely removed from the atom, leaving it charged
What is fluorescence? | When an electron in an atomic orbital absorbs energy from a photon interaction or electron collision, then re-emits photons as it de-excites
What are fluorescent tubes filled with? | Low-pressure mercury vapour, inside a partially evacuated glass tube with a phosphor coating
Explain how a fluorescent tube produces visible light (first stage) | A high voltage accelerates electrons from cathode to anode. These beam electrons collide with mercury atom electrons, transferring kinetic energy and causing ionisation
Explain how a fluorescent tube produces visible light (second stage) | Mercury electrons de-excite back to the ground state and emit UV photons
Explain how a fluorescent tube produces visible light (final stage) | UV photons collide with electrons in the phosphor coating, exciting them. These phosphor electrons de-excite in stages, emitting photons in the visible light range
Why do phosphor electrons emit visible light rather than UV? | They de-excite in stages (multiple smaller energy transitions), so each emitted photon has less energy and therefore a longer wavelength, falling in the visible range
What type of radiation do mercury atoms emit when their electrons de-excite? | Ultraviolet (UV) photons
What is the role of the phosphor coating in a fluorescent tube? | It absorbs UV photons and re-emits the energy as visible light through staged de-excitation of its electrons
How are energy levels represented in an energy level diagram? | As a series of horizontal lines, with the ground state at the bottom (most negative energy) and the ionisation level at the top (0 eV)
What does the bottom line in an energy level diagram represent? | The ground state — the lowest energy level with the greatest negative energy value
What do the lines above the ground state in an energy level diagram represent? | Excited states, with decreasing negative energy values as you go higher
What does the top line (0 eV or infinity) in an energy level diagram represent? | The ionisation energy level
What is the ground state energy of a hydrogen atom? | -13.6 eV
What is the energy of the n = 2 level in hydrogen? | -3.40 eV
What is the energy of the n = 3 level in hydrogen? | -1.51 eV
When is a photon emitted by an atom? | When an electron transitions from a higher energy level to a lower energy level
The energy of an emitted photon equals what? | The difference in energy between the two energy levels involved in the transition
What are line spectra? | Spectra produced when excited atoms emit light of certain discrete wavelengths, corresponding to different colours
Discrete spectra produced when excited atoms emit light at specific wavelengths are called what? | Line spectra (or atomic spectra)
Why does each element produce a unique set of spectral lines? | Because each element has a unique set of energy levels, so the energy differences (and therefore photon wavelengths) are unique to that element
How can elements be identified using light? | By their unique line spectrum — no two elements produce the same set of spectral lines
What are the two types of line spectra? | Emission spectra and absorption spectra
What is an emission spectrum? | A set of discrete coloured lines on a black background, produced when electrons transition from higher to lower energy levels and emit photons
A set of coloured lines on a black background, each corresponding to a specific wavelength — what type of spectrum is this? | An emission spectrum
What is the equation relating photon energy to the change in energy level? | ΔE = hf = hc/λ
