What is application software? | Software designed to be used by the end-user to perform one specific task
Software designed to be used by the end-user to perform one specific task is called what? | Application software
What does application software require in order to run? | Systems software
Give four examples of application software | Desktop publishing, word processing, spreadsheets, web browsers
What is systems software? | Low-level software responsible for running the computer system smoothly, interacting with hardware and providing a platform for applications software to run
Low-level software responsible for running the computer system smoothly and providing a platform for applications is called what? | Systems software
Does the user directly interact with systems software? | No, but it ensures high performance for the user
Give four examples of systems software | Library programs, utility programs, operating system, device drivers
What are the two main categories of software? | Applications software and systems software
What are utilities? | System software integral to ensuring consistent, high performance of the operating system, with each utility having a specific function linked to OS maintenance
What is the purpose of utility software? | To analyse, configure, optimise, or maintain a computer and support the operating system
What does the compression utility do? | Enables files to be compressed and decompressed for transmission across the Internet or to reduce file size
What does the disk defragmentation utility do? | Rearranges the contents of the hard drive so files can be accessed faster, improving performance
Why do files become fragmented on a hard disk? | As the hard disk becomes full, files are stored in different parts of memory rather than contiguous blocks
What happens to read/write times when a hard disk becomes full and fragmented? | Read/write times slow down
What does antivirus software do? | Detects potential threats to the computer, alerts the user, and removes these threats
What does the automatic updating utility do? | Ensures the operating system is kept up to date, with updates automatically installed when the computer is restarted
Why are automatic updates important for security? | Updates tackle bugs or security flaws, making the system less vulnerable to malware and hacking threats
What does the backup utility do? | Automatically creates routine copies of specific files selected by the user at intervals specified by the user
Why is the backup utility important? | In the event of power failure, malicious attack or other accident, files can be recovered
What is source code? | Code written by a programmer before it has been compiled (object code before compilation)
What does 'open source' software mean? | Software where the source code can be used by anyone without a license and is distributed with the source code
What does 'closed source' software mean? | Software that requires an appropriate license to use, where users cannot access the source code as the company owns the copyright license
Software that can be used by anyone without a license and is distributed with the source code is called what? | Open source software
Software that requires a license and where the source code is hidden and proprietary is called what? | Closed source software
Give two advantages of open source software | Can be modified and improved by anyone; technical support from online community; can be modified and sold on
Give two advantages of closed source software | Thorough, regular and well-tested updates; company provides expert support and user manuals; high levels of security as developed professionally
Give two disadvantages of open source software | Support may be insufficient or incorrect with no user manuals; lower security as may not be developed in a controlled environment
Give two disadvantages of closed source software | License restricts how many people can use the software at once; users cannot modify and improve software themselves
What factors should a user consider when choosing between open and closed source software? | Suitability to the task, costs (implementation, maintenance, training, license), and functionality (features available, ease of use)
What is a translator in computing? | A program that converts high-level source code into low-level object code ready to be executed by a computer
A program that converts high-level source code into low-level object code is called what? | A translator
What are the three types of translator? | Compiler, interpreter, assembler
What is high-level code? | Code that is written and understood by the programmer but not the computer
What is low-level code? | Code that can be executed by a computer but cannot be directly understood by programmers
