What is the equation for combined resistance of resistors in series? | R = R₁ + R₂ + R₃ ...
When resistors are connected in series, how is the total resistance calculated? | By adding the individual resistances: R = R₁ + R₂ + R₃ ...
The total resistance equals the sum of individual resistances — what type of connection is this? | Series
What is the equation for combined resistance of resistors in parallel? | 1/R = 1/R₁ + 1/R₂ + 1/R₃ ...
When resistors are connected in parallel, how is the total resistance calculated? | The reciprocal of the total resistance equals the sum of the reciprocals of the individual resistances: 1/R = 1/R₁ + 1/R₂ + 1/R₃ ...
The reciprocal of the total resistance equals the sum of the reciprocals of the individual resistances — what type of connection is this? | Parallel
Explain why adding more resistors in parallel decreases the total resistance | Each new parallel branch provides an additional path for current to flow, reducing the overall opposition to current, so the combined resistance decreases
If two resistors of equal resistance R are connected in parallel, what is the combined resistance? | R/2 (the combined resistance halves)
How does combined resistance in parallel compare to each individual component's resistance? | The combined resistance is always less than the resistance of any individual component
What is the most common mistake when calculating parallel resistance? | Forgetting to find the reciprocal of 1/R_T to get R_T (students leave the answer as 1/R_T instead of R_T)
What is the reciprocal of a value? | 1 divided by that value (1/value)
How do you obtain R_T from 1/R_T when solving parallel resistance problems? | Calculate 1 ÷ (your answer for 1/R_T), or use the x⁻¹ or 1/x button on your calculator
In a series circuit, what happens to the current at each point? | The current is the same at every point in the circuit
In a parallel circuit, what happens to the current at a junction? | The current splits across the different branches; the total current into a junction equals the total current out
What determines how much current flows through each branch of a parallel circuit? | The total resistance of the components within that branch
How does current behave in a series circuit compared to a parallel circuit? | In series, current is the same through all components; in parallel, current divides at junctions with different values in each branch
In a series circuit, how is the e.m.f of the power supply distributed? | It is shared amongst all the components in different amounts, depending on their resistance
In a parallel circuit, what is the voltage across each branch? | The voltage across all components in each branch is equal to the e.m.f of the power supply
How does voltage distribution differ between series and parallel circuits? | In series, the supply e.m.f is shared between components proportionally to their resistance; in parallel, each branch has the same voltage equal to the supply e.m.f
If cells are connected in series, what is the total voltage? | The sum of the potential differences across each cell
If cells are connected in parallel, what is the total voltage? | The same voltage as a single cell
Three 2V cells are connected in series. What is the total voltage? | 6 V (2 + 2 + 2)
Three 2V cells are connected in parallel. What is the total voltage? | 2 V (same as one cell)
What is conservation of charge in a circuit? | Charge is never used up or lost in a circuit
What is Kirchhoff's First Law? | The sum of the currents entering a junction always equals the sum of the currents leaving the junction
The sum of the currents entering a junction equals the sum of the currents leaving the junction — which law is this? | Kirchhoff's First Law
What principle underlies Kirchhoff's First Law? | Conservation of charge
What is a junction in a circuit? | A point where at least three circuit paths meet
What is a branch in a circuit? | A path connecting two junctions
What is conservation of energy in a circuit? | Energy is never used up or lost in a circuit
What is Kirchhoff's Second Law? | The total e.m.f in a closed circuit equals the sum of the potential differences across each component
The total e.m.f in a closed circuit equals the sum of the p.d.s across each component — which law is this? | Kirchhoff's Second Law
What principle underlies Kirchhoff's Second Law? | Conservation of energy
How can each closed loop in a parallel circuit be treated? | As its own independent series circuit
