What are ethics? | The values held by a community and how these impact different groups of people in society
The values held by a community and how these impact different groups of people in society — what term is this? | Ethics
What are morals? | A personal code of conduct encompassing how we choose to behave, including decisions we make at the expense of others
A personal code of conduct encompassing how we choose to behave, including decisions we make at the expense of others — what term is this? | Morals
How do ethics differ from morals? | Ethics are community values about the impact on groups in society. Morals are an individual's personal code of conduct
Give two advantages of computers in the workforce | They improve efficiency (e.g. reducing delivery times and unit labour costs) and reduce strain on workers by removing repetitive, tedious tasks
What type of unemployment results from computerisation replacing jobs? | Structural unemployment
Which income level of jobs has computerisation hit hardest? | Middle-income manufacturing jobs, where entire production lines have been replaced by robots
What shift in job types has resulted from the automation of manufacturing? | A shift from middle-income manufacturing jobs toward low-income service jobs
How can the effects of job displacement from computerisation be mitigated? | Governments invest in retraining programmes so workers can change occupation
Give two examples of new job roles created by increased computerisation | Software developers (for embedded systems in smart devices) and network engineers (to maintain networks)
How has the Internet led to a rise in exclusively online services? | Services like online shopping and banking reduce the cost of renting physical space and cut labour costs, while creating demand for delivery drivers and web developers
What is automated decision making? | The process of using algorithms and computer systems to make decisions without direct human intervention, based on data analysis, pattern recognition, and predefined rules
The process of using algorithms and computer systems to make decisions without direct human intervention — what term is this? | Automated decision making
What is the danger of social media feeds being determined solely by algorithms based on users' interests? | It creates a filter bubble where users' beliefs are never challenged, leading to a close-minded society
Give two examples of automated decision making used in application processes | Assessing a person's suitability for mortgages, loans, and jobs by screening candidates for desired qualities
Why could relying entirely on algorithms for decisions treat people unfairly? | Algorithms do not consider extenuating circumstances and cannot process information with the same consideration of contextual factors that humans can
Why must algorithms not remain a "black box"? | Decisions must be justified and some level of human input is essential to ensure fairness, since algorithms designed by humans cannot be assumed to be free of bias
What ethical dilemma does algorithmic decision making raise for driverless cars? | How the car should decide who is harmed if an unavoidable accident occurs (e.g. a pedestrian or the driver), and who is responsible for the consequences
